# material=Ca density=1.55
# Photon Energy [eV]  Attenuation Length [um]
1.795310e+04 3.685276e+02
1.824350e+04 3.862302e+02
1.853860e+04 4.048100e+02
1.883840e+04 4.243121e+02
1.914310e+04 4.447891e+02
1.945270e+04 4.662875e+02
1.976740e+04 4.888644e+02
2.008710e+04 5.124330e+02
2.041200e+04 5.373183e+02
2.074210e+04 5.634376e+02
2.107760e+04 5.908590e+02
2.141850e+04 6.196438e+02
2.176500e+04 6.498685e+02
2.211700e+04 6.815957e+02
2.247470e+04 7.149033e+02
2.283820e+04 7.498819e+02
2.320760e+04 7.866046e+02
2.358300e+04 8.251685e+02
2.396440e+04 8.656600e+02
2.435200e+04 9.081875e+02
2.474590e+04 9.528403e+02
2.514620e+04 9.997473e+02
2.555290e+04 1.048998e+03
2.596620e+04 1.100734e+03
2.638610e+04 1.155071e+03
2.681290e+04 1.212148e+03
2.724660e+04 1.272102e+03
2.768730e+04 1.335081e+03
2.813510e+04 1.401242e+03
2.859020e+04 1.470745e+03
2.905260e+04 1.543760e+03
2.952250e+04 1.620480e+03
3.000000e+04 1.701091e+03
