# material=Co density=8.9
# Photon Energy [eV]  Attenuation Length [um]
6.533480e+03 1.604639e+01
6.639150e+03 1.676434e+01
6.746540e+03 1.751369e+01
6.855650e+03 1.829576e+01
6.966540e+03 1.911198e+01
7.079220e+03 1.996382e+01
7.193720e+03 2.085270e+01
7.310070e+03 2.178015e+01
7.428310e+03 2.274736e+01
7.548450e+03 2.375658e+01
7.670540e+03 2.480991e+01
7.708800e+03 2.514593e+01
7.709000e+03 3.197378e+00
7.794610e+03 3.285353e+00
7.920680e+03 3.417497e+00
8.048790e+03 3.555741e+00
8.178980e+03 3.700395e+00
8.311260e+03 3.851748e+00
8.445690e+03 4.009931e+00
8.582290e+03 4.175577e+00
8.721110e+03 4.348789e+00
8.862160e+03 4.530061e+00
9.005500e+03 4.719636e+00
9.151160e+03 4.917900e+00
9.299170e+03 5.125487e+00
9.449580e+03 5.342640e+00
9.602420e+03 5.569839e+00
9.757730e+03 5.807749e+00
9.915550e+03 6.056332e+00
1.007590e+04 6.316681e+00
1.023890e+04 6.589130e+00
1.040450e+04 6.874275e+00
1.057280e+04 7.172703e+00
1.074380e+04 7.485007e+00
1.091760e+04 7.811912e+00
1.109420e+04 8.154068e+00
1.127360e+04 8.512189e+00
1.145590e+04 8.887058e+00
1.164120e+04 9.279487e+00
1.182950e+04 9.690340e+00
1.202080e+04 1.012043e+01
1.221530e+04 1.057080e+01
1.241280e+04 1.104218e+01
1.261360e+04 1.153586e+01
1.281760e+04 1.205272e+01
1.302500e+04 1.259400e+01
1.323560e+04 1.316064e+01
1.344970e+04 1.375412e+01
1.366720e+04 1.437564e+01
1.388830e+04 1.502655e+01
1.411290e+04 1.570816e+01
1.434120e+04 1.642214e+01
1.457310e+04 1.716985e+01
1.480890e+04 1.795322e+01
1.504840e+04 1.877367e+01
1.529180e+04 1.963300e+01
1.553910e+04 2.053335e+01
1.579040e+04 2.147642e+01
1.604580e+04 2.246434e+01
1.630540e+04 2.349954e+01
1.656910e+04 2.458412e+01
1.683710e+04 2.572022e+01
1.710940e+04 2.691076e+01
1.738610e+04 2.815813e+01
1.766740e+04 2.946538e+01
1.795310e+04 3.083496e+01
1.824350e+04 3.227033e+01
1.853860e+04 3.377446e+01
1.883840e+04 3.535068e+01
1.914310e+04 3.700261e+01
1.945270e+04 3.873392e+01
1.976740e+04 4.054862e+01
2.008710e+04 4.245044e+01
2.041200e+04 4.444393e+01
2.074210e+04 4.653335e+01
2.107760e+04 4.872365e+01
2.141850e+04 5.101950e+01
2.176500e+04 5.342646e+01
2.211700e+04 5.594939e+01
2.247470e+04 5.859426e+01
2.283820e+04 6.136718e+01
2.320760e+04 6.427433e+01
2.358300e+04 6.732239e+01
2.396440e+04 7.051791e+01
2.435200e+04 7.386861e+01
2.474590e+04 7.738181e+01
2.514620e+04 8.106579e+01
2.555290e+04 8.492848e+01
2.596620e+04 8.897910e+01
2.638610e+04 9.322649e+01
2.681290e+04 9.768082e+01
2.724660e+04 1.023522e+02
2.768730e+04 1.072511e+02
2.813510e+04 1.123890e+02
2.859020e+04 1.177774e+02
2.905260e+04 1.234289e+02
2.952250e+04 1.293563e+02
3.000000e+04 1.355735e+02
