# material=Mg density=1.738
# Photon Energy [eV]  Attenuation Length [um]
4.414000e+03 2.544648e+01
4.472000e+03 2.642104e+01
4.530000e+03 2.742089e+01
4.589000e+03 2.846273e+01
4.649000e+03 2.955034e+01
4.710000e+03 3.068508e+01
4.771000e+03 3.184684e+01
4.834000e+03 3.307910e+01
4.897000e+03 3.434281e+01
4.961000e+03 3.566045e+01
5.026000e+03 3.703306e+01
5.091000e+03 3.843840e+01
5.158000e+03 3.992675e+01
5.225000e+03 4.145441e+01
5.294000e+03 4.306481e+01
5.363000e+03 4.472178e+01
5.433000e+03 4.644374e+01
5.504000e+03 4.823484e+01
5.576000e+03 5.009978e+01
5.649000e+03 5.203447e+01
5.722000e+03 5.402815e+01
5.797000e+03 5.612035e+01
5.873000e+03 5.830175e+01
5.950000e+03 6.056781e+01
6.027000e+03 6.289239e+01
6.106000e+03 6.533921e+01
6.186000e+03 6.788249e+01
6.267000e+03 7.052442e+01
6.349000e+03 7.326902e+01
6.432000e+03 7.611999e+01
6.516000e+03 7.907975e+01
6.601000e+03 8.215477e+01
6.687000e+03 8.534646e+01
6.774000e+03 8.865917e+01
6.863000e+03 9.213617e+01
6.952000e+03 9.570564e+01
7.043000e+03 9.945126e+01
7.135000e+03 1.033383e+02
7.229000e+03 1.074125e+02
7.323000e+03 1.115963e+02
7.419000e+03 1.159785e+02
7.516000e+03 1.205264e+02
7.614000e+03 1.252410e+02
7.713000e+03 1.301305e+02
7.814000e+03 1.352477e+02
7.916000e+03 1.405540e+02
8.019000e+03 1.460560e+02
8.124000e+03 1.518099e+02
8.230000e+03 1.577758e+02
8.338000e+03 1.640140e+02
8.447000e+03 1.704779e+02
8.557000e+03 1.771706e+02
8.669000e+03 1.841699e+02
8.782000e+03 1.914175e+02
8.897000e+03 1.989919e+02
9.013000e+03 2.068401e+02
9.131000e+03 2.150257e+02
9.250000e+03 2.235124e+02
9.371000e+03 2.323682e+02
9.494000e+03 2.416107e+02
9.618000e+03 2.511772e+02
9.743000e+03 2.610807e+02
9.897570e+03 2.736904e+02
1.005460e+04 2.869160e+02
1.021410e+04 3.007914e+02
1.037610e+04 3.153480e+02
1.054070e+04 3.306185e+02
1.070800e+04 3.466430e+02
1.087780e+04 3.634536e+02
1.105040e+04 3.810937e+02
1.122570e+04 3.996021e+02
1.140380e+04 4.190242e+02
1.158470e+04 4.394037e+02
1.176850e+04 4.607911e+02
1.195520e+04 4.832355e+02
1.214490e+04 5.067917e+02
1.233750e+04 5.315101e+02
1.253320e+04 5.574552e+02
1.273210e+04 5.846917e+02
1.293410e+04 6.132782e+02
1.313930e+04 6.432843e+02
1.334770e+04 6.747808e+02
1.355940e+04 7.078446e+02
1.377460e+04 7.425628e+02
1.399310e+04 7.790057e+02
1.421510e+04 8.172715e+02
1.444060e+04 8.574461e+02
