# material=Ho density=8.795
# Photon Energy [eV]  Attenuation Length [um]
3.494500e+03 1.082785e+00
3.551020e+03 1.126594e+00
3.608460e+03 1.172360e+00
3.666820e+03 1.220014e+00
3.726130e+03 1.269655e+00
3.786400e+03 1.321371e+00
3.847640e+03 1.375255e+00
3.909870e+03 1.431388e+00
3.973110e+03 1.489875e+00
4.037380e+03 1.550828e+00
4.102680e+03 1.614329e+00
4.169030e+03 1.680484e+00
4.236460e+03 1.749423e+00
4.304980e+03 1.821259e+00
4.374620e+03 1.896118e+00
4.445370e+03 1.974112e+00
4.517270e+03 2.055379e+00
4.590330e+03 2.140023e+00
4.664580e+03 2.228315e+00
4.740030e+03 2.320271e+00
4.816690e+03 2.416033e+00
4.894600e+03 2.515891e+00
4.973770e+03 2.619992e+00
5.054210e+03 2.728394e+00
5.135960e+03 2.841426e+00
5.219030e+03 2.959129e+00
5.303440e+03 3.081849e+00
5.389220e+03 3.209810e+00
5.476390e+03 3.343100e+00
5.564970e+03 3.481961e+00
5.654980e+03 3.626686e+00
5.746440e+03 3.777625e+00
5.839390e+03 3.935024e+00
5.933830e+03 4.099003e+00
6.029810e+03 4.269710e+00
6.127330e+03 4.447893e+00
6.226440e+03 4.633643e+00
6.327150e+03 4.827168e+00
6.429480e+03 5.029063e+00
6.533480e+03 5.239386e+00
6.639150e+03 5.458659e+00
6.746540e+03 5.687437e+00
6.855650e+03 5.925784e+00
6.966540e+03 6.174065e+00
7.079220e+03 6.433616e+00
7.193720e+03 6.703651e+00
7.310070e+03 6.985583e+00
7.428310e+03 7.279940e+00
7.548450e+03 7.586165e+00
7.670540e+03 7.905858e+00
7.794610e+03 8.239875e+00
7.920680e+03 8.587989e+00
8.048790e+03 8.950159e+00
8.071000e+03 9.013880e+00
8.071200e+03 3.214842e+00
8.178980e+03 3.339833e+00
8.311260e+03 3.497490e+00
8.445690e+03 3.662767e+00
8.582290e+03 3.835725e+00
8.721110e+03 4.016955e+00
8.862160e+03 4.206682e+00
8.917700e+03 4.282963e+00
8.917900e+03 3.068941e+00
9.005500e+03 3.157409e+00
9.151160e+03 3.308216e+00
9.299170e+03 3.466296e+00
9.394100e+03 3.570278e+00
9.394300e+03 3.120381e+00
9.449580e+03 3.165522e+00
9.602420e+03 3.292303e+00
9.757730e+03 3.424542e+00
9.915550e+03 3.562556e+00
1.007590e+04 3.706989e+00
1.023890e+04 3.857921e+00
1.040450e+04 4.015656e+00
1.057280e+04 4.180504e+00
1.074380e+04 4.352740e+00
1.091760e+04 4.532767e+00
1.109420e+04 4.720925e+00
1.127360e+04 4.917520e+00
1.145590e+04 5.122976e+00
1.164120e+04 5.337722e+00
1.182950e+04 5.562167e+00
1.202080e+04 5.796718e+00
1.221530e+04 6.041922e+00
1.241280e+04 6.298121e+00
1.261360e+04 6.565959e+00
1.281760e+04 6.845883e+00
1.302500e+04 7.138529e+00
1.323560e+04 7.444326e+00
1.344970e+04 7.764018e+00
1.366720e+04 8.098167e+00
1.388830e+04 8.447486e+00
1.411290e+04 8.812608e+00
1.434120e+04 9.194317e+00
1.457310e+04 9.593289e+00
1.480890e+04 1.001045e+01
1.504840e+04 1.044650e+01
1.529180e+04 1.090234e+01
1.553910e+04 1.137886e+01
1.579040e+04 1.187705e+01
1.604580e+04 1.239790e+01
1.630540e+04 1.294248e+01
1.656910e+04 1.351176e+01
1.683710e+04 1.410696e+01
1.710940e+04 1.472920e+01
1.738610e+04 1.537979e+01
1.766740e+04 1.606008e+01
1.795310e+04 1.677119e+01
1.824350e+04 1.751481e+01
1.853860e+04 1.829226e+01
1.883840e+04 1.910508e+01
1.914310e+04 1.995499e+01
1.945270e+04 2.084359e+01
1.976740e+04 2.177282e+01
2.008710e+04 2.274427e+01
2.041200e+04 2.376010e+01
2.074210e+04 2.482207e+01
2.107760e+04 2.593269e+01
2.141850e+04 2.709377e+01
2.176500e+04 2.830797e+01
2.211700e+04 2.957740e+01
2.247470e+04 3.090471e+01
2.283820e+04 3.229267e+01
2.320760e+04 3.374379e+01
2.358300e+04 3.526131e+01
2.396440e+04 3.684770e+01
2.435200e+04 3.850668e+01
2.474590e+04 4.024128e+01
2.514620e+04 4.205502e+01
2.555290e+04 4.395131e+01
2.596620e+04 4.593406e+01
2.638610e+04 4.800701e+01
2.681290e+04 5.017464e+01
2.724660e+04 5.244089e+01
2.768730e+04 5.481050e+01
2.813510e+04 5.728801e+01
2.859020e+04 5.987865e+01
2.905260e+04 6.258693e+01
2.952250e+04 6.541853e+01
3.000000e+04 6.837894e+01
