# material=Gd density=7.901
# Photon Energy [eV]  Attenuation Length [um]
7.322250e+03 3.061801e+00
7.406600e+03 3.163897e+00
7.491920e+03 3.269351e+00
7.578230e+03 3.378365e+00
7.665530e+03 3.491057e+00
7.753840e+03 3.607488e+00
7.843160e+03 3.727721e+00
7.930200e+03 3.847385e+00
7.930400e+03 2.752502e+00
7.933510e+03 2.755684e+00
8.024910e+03 2.849886e+00
8.117350e+03 2.947289e+00
8.210860e+03 3.048094e+00
8.305450e+03 3.152364e+00
8.375500e+03 3.231096e+00
8.375700e+03 2.820137e+00
8.401130e+03 2.841362e+00
8.497910e+03 2.923005e+00
8.595800e+03 3.007129e+00
8.694830e+03 3.093927e+00
8.794990e+03 3.183433e+00
8.896310e+03 3.275811e+00
8.998790e+03 3.371236e+00
9.102460e+03 3.469685e+00
9.207320e+03 3.571249e+00
9.313380e+03 3.676026e+00
9.420670e+03 3.784090e+00
9.529200e+03 3.895607e+00
9.638970e+03 4.010717e+00
9.750010e+03 4.129506e+00
9.862330e+03 4.252013e+00
9.975950e+03 4.378631e+00
1.009090e+04 4.509177e+00
1.020710e+04 4.643850e+00
1.032470e+04 4.782883e+00
1.044360e+04 4.926360e+00
1.056390e+04 5.074401e+00
1.068560e+04 5.227192e+00
1.080870e+04 5.384871e+00
1.093330e+04 5.547643e+00
1.105920e+04 5.715552e+00
1.118660e+04 5.888868e+00
1.131550e+04 6.067745e+00
1.144580e+04 6.252318e+00
1.157770e+04 6.442856e+00
1.171110e+04 6.639489e+00
1.184600e+04 6.842411e+00
1.198240e+04 7.051817e+00
1.212050e+04 7.268004e+00
1.226010e+04 7.491090e+00
1.240130e+04 7.721325e+00
1.254420e+04 7.958992e+00
1.268870e+04 8.204273e+00
1.283490e+04 8.457457e+00
1.298270e+04 8.718724e+00
1.313230e+04 8.988449e+00
1.328360e+04 9.266827e+00
1.343660e+04 9.554138e+00
1.359140e+04 9.850705e+00
1.374800e+04 1.015683e+01
1.390630e+04 1.047273e+01
1.406650e+04 1.079887e+01
1.422860e+04 1.113554e+01
1.439250e+04 1.148300e+01
1.455830e+04 1.184165e+01
1.472600e+04 1.221185e+01
1.489560e+04 1.259395e+01
1.506720e+04 1.298840e+01
1.524080e+04 1.339560e+01
1.541640e+04 1.381591e+01
1.559400e+04 1.424977e+01
1.577360e+04 1.469754e+01
1.595530e+04 1.515980e+01
1.613910e+04 1.563698e+01
1.632510e+04 1.612964e+01
1.651310e+04 1.663804e+01
1.670340e+04 1.716301e+01
1.689580e+04 1.770480e+01
1.709040e+04 1.826404e+01
1.728730e+04 1.884144e+01
1.748640e+04 1.943737e+01
1.768790e+04 2.005266e+01
1.789170e+04 2.068780e+01
1.809780e+04 2.134339e+01
1.830620e+04 2.202007e+01
1.851710e+04 2.271872e+01
1.873040e+04 2.343992e+01
1.894620e+04 2.418440e+01
1.916450e+04 2.495299e+01
1.938530e+04 2.574641e+01
1.960860e+04 2.656540e+01
1.983450e+04 2.741086e+01
2.006290e+04 2.828351e+01
2.029410e+04 2.918462e+01
2.052790e+04 3.011474e+01
2.076430e+04 3.107474e+01
2.100350e+04 3.206584e+01
2.124550e+04 3.308907e+01
2.149020e+04 3.414527e+01
2.173780e+04 3.523564e+01
2.198820e+04 3.636131e+01
2.224150e+04 3.752328e+01
2.249780e+04 3.872297e+01
2.275690e+04 3.996106e+01
2.301910e+04 4.123956e+01
2.328430e+04 4.255908e+01
2.355250e+04 4.392141e+01
2.382380e+04 4.532754e+01
2.409830e+04 4.677943e+01
2.437590e+04 4.827793e+01
2.465670e+04 4.982492e+01
2.494070e+04 5.142195e+01
2.522800e+04 5.307040e+01
2.551870e+04 5.477258e+01
2.581260e+04 5.652934e+01
2.611000e+04 5.834282e+01
2.641080e+04 6.021519e+01
2.671500e+04 6.214783e+01
2.702280e+04 6.414289e+01
2.733410e+04 6.620249e+01
2.764900e+04 6.832873e+01
2.796750e+04 7.052310e+01
2.828970e+04 7.278890e+01
2.861560e+04 7.512778e+01
2.894520e+04 7.754181e+01
2.927870e+04 8.003409e+01
2.961590e+04 8.260679e+01
2.995710e+04 8.526257e+01
3.000000e+04 8.560050e+01
