# material=S density=1.96
# Photon Energy [eV]  Attenuation Length [um]
1.738610e+04 5.396604e+02
1.766740e+04 5.661797e+02
1.795310e+04 5.940306e+02
1.824350e+04 6.232935e+02
1.853860e+04 6.540385e+02
1.883840e+04 6.863397e+02
1.914310e+04 7.202827e+02
1.945270e+04 7.559510e+02
1.976740e+04 7.934517e+02
2.008710e+04 8.330193e+02
2.041200e+04 8.744386e+02
2.074210e+04 9.179488e+02
2.107760e+04 9.636642e+02
2.141850e+04 1.011692e+03
2.176500e+04 1.062159e+03
2.211700e+04 1.115177e+03
2.247470e+04 1.170886e+03
2.283820e+04 1.229428e+03
2.320760e+04 1.290943e+03
2.358300e+04 1.355592e+03
2.396440e+04 1.423525e+03
2.435200e+04 1.494922e+03
2.474590e+04 1.569959e+03
2.514620e+04 1.648831e+03
2.555290e+04 1.731721e+03
2.596620e+04 1.818852e+03
2.638610e+04 1.910433e+03
2.681290e+04 2.006709e+03
2.724660e+04 2.107921e+03
2.768730e+04 2.214320e+03
2.813510e+04 2.326181e+03
2.859020e+04 2.443787e+03
2.905260e+04 2.567436e+03
2.952250e+04 2.697446e+03
3.000000e+04 2.834153e+03
