# material=Po density=9.196
# Photon Energy [eV]  Attenuation Length [um]
5.303440e+03 1.573335e+00
5.389220e+03 1.637178e+00
5.476390e+03 1.703735e+00
5.564970e+03 1.773121e+00
5.654980e+03 1.845467e+00
5.746440e+03 1.920873e+00
5.839390e+03 1.999484e+00
5.933830e+03 2.081425e+00
6.029810e+03 2.166859e+00
6.127330e+03 2.255937e+00
6.226440e+03 2.348806e+00
6.327150e+03 2.445565e+00
6.429480e+03 2.546494e+00
6.533480e+03 2.651705e+00
6.639150e+03 2.761361e+00
6.746540e+03 2.875672e+00
6.855650e+03 2.994794e+00
6.966540e+03 3.119007e+00
7.079220e+03 3.248572e+00
7.193720e+03 3.383485e+00
7.310070e+03 3.524223e+00
7.428310e+03 3.670909e+00
7.548450e+03 3.823737e+00
7.670540e+03 3.983030e+00
7.794610e+03 4.149129e+00
7.920680e+03 4.322268e+00
8.048790e+03 4.502745e+00
8.178980e+03 4.690825e+00
8.311260e+03 4.886882e+00
8.445690e+03 5.091255e+00
8.582290e+03 5.304138e+00
8.721110e+03 5.526228e+00
8.862160e+03 5.757476e+00
9.005500e+03 5.998724e+00
9.151160e+03 6.250021e+00
9.299170e+03 6.511886e+00
9.449580e+03 6.784954e+00
9.602420e+03 7.069583e+00
9.757730e+03 7.365890e+00
9.915550e+03 7.674963e+00
1.007590e+04 8.015876e+00
1.023890e+04 8.371397e+00
1.040450e+04 8.741984e+00
1.057280e+04 9.128217e+00
1.074380e+04 9.530569e+00
1.091760e+04 9.949635e+00
1.109420e+04 1.038593e+01
1.127360e+04 1.083992e+01
1.145590e+04 1.131223e+01
1.164120e+04 1.180346e+01
1.182950e+04 1.231412e+01
1.202080e+04 1.284467e+01
1.221530e+04 1.339587e+01
1.241280e+04 1.396792e+01
1.261360e+04 1.456168e+01
1.281760e+04 1.517743e+01
1.302500e+04 1.581591e+01
1.323560e+04 1.647730e+01
1.344970e+04 1.716236e+01
1.366720e+04 1.787138e+01
1.381370e+04 1.835858e+01
1.381390e+04 7.251457e+00
1.388830e+04 7.358202e+00
1.411290e+04 7.686593e+00
1.434120e+04 8.029629e+00
1.457310e+04 8.387930e+00
1.480890e+04 8.762289e+00
1.504840e+04 9.153300e+00
1.529180e+04 9.561758e+00
1.553910e+04 9.988404e+00
1.579040e+04 1.043411e+01
1.604580e+04 1.089970e+01
1.624420e+04 1.127025e+01
1.624440e+04 8.067299e+00
1.630540e+04 8.141251e+00
1.656910e+04 8.465295e+00
1.683710e+04 8.802351e+00
1.693920e+04 8.932748e+00
1.693940e+04 7.910352e+00
1.710940e+04 8.100855e+00
1.738610e+04 8.416548e+00
1.766740e+04 8.746535e+00
1.795310e+04 9.091422e+00
1.824350e+04 9.451836e+00
1.853860e+04 9.828516e+00
1.883840e+04 1.022224e+01
1.914310e+04 1.063364e+01
1.945270e+04 1.106362e+01
1.976740e+04 1.151305e+01
2.008710e+04 1.198269e+01
2.041200e+04 1.247353e+01
2.074210e+04 1.298649e+01
2.107760e+04 1.352264e+01
2.141850e+04 1.408297e+01
2.176500e+04 1.466865e+01
2.211700e+04 1.528071e+01
2.247470e+04 1.592041e+01
2.283820e+04 1.658905e+01
2.320760e+04 1.728791e+01
2.358300e+04 1.801840e+01
2.396440e+04 1.878187e+01
2.435200e+04 1.957994e+01
2.474590e+04 2.041413e+01
2.514620e+04 2.128613e+01
2.555290e+04 2.219752e+01
2.596620e+04 2.315025e+01
2.638610e+04 2.414607e+01
2.681290e+04 2.518715e+01
2.724660e+04 2.627542e+01
2.768730e+04 2.741300e+01
2.813510e+04 2.860222e+01
2.859020e+04 2.984544e+01
2.905260e+04 3.114503e+01
2.952250e+04 3.250365e+01
3.000000e+04 3.392395e+01
