# material=Rb density=1.532
# Photon Energy [eV]  Attenuation Length [um]
2.455190e+03 2.797826e+00
2.494900e+03 2.909987e+00
2.535260e+03 3.027240e+00
2.576260e+03 3.149814e+00
2.617930e+03 3.277844e+00
2.660270e+03 3.411765e+00
2.703300e+03 3.551676e+00
2.747030e+03 3.697988e+00
2.791460e+03 3.850841e+00
2.836610e+03 4.010565e+00
2.882490e+03 4.177599e+00
2.929110e+03 4.352133e+00
2.976480e+03 4.534539e+00
3.024630e+03 4.725261e+00
3.073550e+03 4.924548e+00
3.123260e+03 5.133036e+00
3.173780e+03 5.350811e+00
3.225110e+03 5.578406e+00
3.277270e+03 5.816506e+00
3.330280e+03 6.065467e+00
3.384150e+03 6.325454e+00
3.438880e+03 6.597449e+00
3.494500e+03 6.881786e+00
3.551020e+03 7.179017e+00
3.608460e+03 7.489784e+00
3.666820e+03 7.814649e+00
3.726130e+03 8.154347e+00
3.786400e+03 8.509557e+00
3.847640e+03 8.880881e+00
3.909870e+03 9.269129e+00
3.973110e+03 9.674998e+00
4.037380e+03 1.009954e+01
4.102680e+03 1.054331e+01
4.169030e+03 1.100739e+01
4.236460e+03 1.149263e+01
4.304980e+03 1.200005e+01
4.374620e+03 1.253053e+01
4.445370e+03 1.308548e+01
4.517270e+03 1.366557e+01
4.590330e+03 1.427218e+01
4.664580e+03 1.490650e+01
4.740030e+03 1.556991e+01
4.816690e+03 1.626352e+01
4.894600e+03 1.698912e+01
4.973770e+03 1.774753e+01
5.054210e+03 1.854101e+01
5.135960e+03 1.937035e+01
5.219030e+03 2.023808e+01
5.303440e+03 2.114498e+01
5.389220e+03 2.209354e+01
5.476390e+03 2.308604e+01
5.564970e+03 2.412319e+01
5.654980e+03 2.520819e+01
5.746440e+03 2.634282e+01
5.839390e+03 2.752901e+01
5.933830e+03 2.877007e+01
6.029810e+03 3.006750e+01
6.127330e+03 3.142465e+01
6.226440e+03 3.284288e+01
6.327150e+03 3.432628e+01
6.429480e+03 3.587760e+01
6.533480e+03 3.749934e+01
6.639150e+03 3.919610e+01
6.746540e+03 4.096946e+01
6.855650e+03 4.282571e+01
6.966540e+03 4.476520e+01
7.079220e+03 4.679242e+01
7.193720e+03 4.891319e+01
7.310070e+03 5.113194e+01
7.428310e+03 5.344994e+01
7.548450e+03 5.587309e+01
7.670540e+03 5.840694e+01
7.794610e+03 6.105666e+01
7.920680e+03 6.382643e+01
8.048790e+03 6.672311e+01
8.178980e+03 6.975196e+01
8.311260e+03 7.291716e+01
8.445690e+03 7.622627e+01
8.582290e+03 7.968661e+01
8.721110e+03 8.330339e+01
8.862160e+03 8.708321e+01
9.005500e+03 9.103622e+01
9.151160e+03 9.516599e+01
9.299170e+03 9.948406e+01
9.449580e+03 1.039977e+02
9.602420e+03 1.087148e+02
9.757730e+03 1.136437e+02
9.915550e+03 1.187984e+02
1.007590e+04 1.241828e+02
1.023890e+04 1.298108e+02
1.040450e+04 1.356916e+02
1.057280e+04 1.418376e+02
1.074380e+04 1.482592e+02
1.091760e+04 1.549697e+02
1.109420e+04 1.619809e+02
1.127360e+04 1.693058e+02
1.145590e+04 1.769583e+02
1.164120e+04 1.849540e+02
1.182950e+04 1.933072e+02
1.202080e+04 2.020323e+02
1.221530e+04 2.111486e+02
1.241280e+04 2.206681e+02
1.261360e+04 2.306133e+02
1.281760e+04 2.409993e+02
1.302500e+04 2.518485e+02
1.323560e+04 2.631758e+02
1.344970e+04 2.750061e+02
1.366720e+04 2.873590e+02
1.388830e+04 3.002586e+02
1.411290e+04 3.137261e+02
1.434120e+04 3.277880e+02
1.457310e+04 3.424666e+02
1.480890e+04 3.577938e+02
1.504840e+04 3.737901e+02
1.519960e+04 3.841178e+02
1.519980e+04 5.467630e+01
1.529180e+04 5.551060e+01
1.553910e+04 5.779198e+01
1.579040e+04 6.017809e+01
1.604580e+04 6.267381e+01
1.630540e+04 6.528441e+01
1.656910e+04 6.801491e+01
1.683710e+04 7.087097e+01
1.710940e+04 7.385816e+01
1.738610e+04 7.698299e+01
1.766740e+04 8.025273e+01
1.795310e+04 8.367225e+01
1.824350e+04 8.725003e+01
1.853860e+04 9.099322e+01
1.883840e+04 9.490892e+01
1.914310e+04 9.900580e+01
1.945270e+04 1.032927e+02
1.976740e+04 1.077782e+02
2.008710e+04 1.124715e+02
2.041200e+04 1.173827e+02
2.074210e+04 1.225218e+02
2.107760e+04 1.278999e+02
2.141850e+04 1.335279e+02
2.176500e+04 1.394191e+02
2.211700e+04 1.455835e+02
2.247470e+04 1.520354e+02
2.283820e+04 1.587885e+02
2.320760e+04 1.658573e+02
2.358300e+04 1.732567e+02
2.396440e+04 1.810016e+02
2.435200e+04 1.891091e+02
2.474590e+04 1.975975e+02
2.514620e+04 2.064823e+02
2.555290e+04 2.157853e+02
2.596620e+04 2.255243e+02
2.638610e+04 2.357204e+02
2.681290e+04 2.463953e+02
2.724660e+04 2.575740e+02
2.768730e+04 2.692805e+02
2.813510e+04 2.815356e+02
2.859020e+04 2.943704e+02
2.905260e+04 3.078115e+02
2.952250e+04 3.218860e+02
3.000000e+04 3.366239e+02
