# material=Nb density=8.57
# Photon Energy [eV]  Attenuation Length [um]
1.216310e+03 3.735055e-01
1.235610e+03 3.873123e-01
1.255210e+03 4.016282e-01
1.275120e+03 4.242939e-01
1.295350e+03 4.553667e-01
1.315900e+03 4.727233e-01
1.336780e+03 4.907414e-01
1.357990e+03 5.094467e-01
1.379530e+03 5.288628e-01
1.401410e+03 5.490178e-01
1.423650e+03 5.699459e-01
1.446230e+03 5.916665e-01
1.469170e+03 6.142162e-01
1.492480e+03 6.376282e-01
1.516160e+03 6.627325e-01
1.540210e+03 6.889702e-01
1.564650e+03 7.162493e-01
1.589470e+03 7.446062e-01
1.614680e+03 7.740842e-01
1.640300e+03 8.047319e-01
1.666320e+03 8.365929e-01
1.692760e+03 8.697165e-01
1.719610e+03 9.041470e-01
1.746890e+03 9.399433e-01
1.774600e+03 9.771557e-01
1.802760e+03 1.015846e+00
1.831360e+03 1.056066e+00
1.860410e+03 1.097876e+00
1.889920e+03 1.141338e+00
1.919910e+03 1.186532e+00
1.950360e+03 1.233503e+00
1.981300e+03 1.282338e+00
2.012740e+03 1.333114e+00
2.044670e+03 1.385892e+00
2.077100e+03 1.440757e+00
2.110060e+03 1.497805e+00
2.143530e+03 1.557100e+00
2.177540e+03 1.618754e+00
2.212080e+03 1.682836e+00
2.247170e+03 1.749459e+00
2.282820e+03 1.818725e+00
2.319040e+03 1.889310e+00
2.355830e+03 1.959980e+00
2.367000e+03 1.981727e+00
2.370400e+03 1.988379e+00
2.370600e+03 5.364368e-01
2.398000e+03 5.523056e-01
2.436040e+03 5.748030e-01
2.461000e+03 5.898607e-01
2.464600e+03 5.920510e-01
2.464800e+03 4.296836e-01
2.493000e+03 4.414857e-01
2.532550e+03 4.583481e-01
2.572730e+03 4.758594e-01
2.613540e+03 4.940344e-01
2.655000e+03 5.129059e-01
2.695000e+03 5.315019e-01
2.697600e+03 5.327243e-01
2.697800e+03 4.668398e-01
2.730000e+03 4.808974e-01
2.773310e+03 5.002032e-01
2.817310e+03 5.202870e-01
2.862000e+03 5.411713e-01
2.907400e+03 5.628983e-01
2.953530e+03 5.854962e-01
3.000380e+03 6.090013e-01
3.047980e+03 6.334506e-01
3.096340e+03 6.588834e-01
3.145460e+03 6.853332e-01
3.195360e+03 7.128509e-01
3.246050e+03 7.414631e-01
3.297550e+03 7.712314e-01
3.349860e+03 8.021966e-01
3.403000e+03 8.343976e-01
3.456990e+03 8.678981e-01
3.511830e+03 9.027443e-01
3.567540e+03 9.389805e-01
3.624140e+03 9.766769e-01
3.681630e+03 1.015887e+00
3.740040e+03 1.056671e+00
3.799370e+03 1.100164e+00
3.859650e+03 1.147317e+00
3.920880e+03 1.196484e+00
3.983080e+03 1.247760e+00
4.046270e+03 1.301236e+00
4.110460e+03 1.357000e+00
4.175670e+03 1.415155e+00
4.241910e+03 1.475799e+00
4.309210e+03 1.539051e+00
4.377570e+03 1.605006e+00
4.447020e+03 1.673790e+00
4.517560e+03 1.745522e+00
4.589230e+03 1.820328e+00
4.662040e+03 1.898341e+00
4.736000e+03 1.979701e+00
4.811130e+03 2.064540e+00
4.887450e+03 2.153012e+00
4.964990e+03 2.245282e+00
5.043760e+03 2.341512e+00
5.123770e+03 2.441852e+00
5.205060e+03 2.546501e+00
5.287630e+03 2.655640e+00
5.371510e+03 2.769445e+00
5.456730e+03 2.888129e+00
5.543300e+03 3.011910e+00
5.631240e+03 3.140988e+00
5.720570e+03 3.275591e+00
5.811320e+03 3.415968e+00
5.903520e+03 3.562370e+00
5.997170e+03 3.715035e+00
6.092310e+03 3.874237e+00
6.188960e+03 4.040276e+00
6.287150e+03 4.213430e+00
6.386890e+03 4.396516e+00
6.488210e+03 4.591863e+00
6.591140e+03 4.795905e+00
