# material=Tl density=11.85
# Photon Energy [eV]  Attenuation Length [um]
3.638080e+02 5.774154e-02
3.696920e+02 5.775313e-02
3.756720e+02 5.784708e-02
3.817480e+02 5.794136e-02
3.879220e+02 5.803535e-02
3.941970e+02 5.812987e-02
4.005730e+02 5.822443e-02
4.070520e+02 5.831925e-02
4.136350e+02 5.853280e-02
4.203260e+02 5.908511e-02
4.271240e+02 5.964244e-02
4.340320e+02 6.020504e-02
4.410520e+02 6.077300e-02
4.481860e+02 6.134622e-02
4.554350e+02 6.194971e-02
4.628020e+02 6.270229e-02
4.702870e+02 6.348597e-02
4.778940e+02 6.427978e-02
4.856230e+02 6.508145e-02
4.934780e+02 6.589285e-02
5.014590e+02 6.671532e-02
5.095700e+02 6.755061e-02
5.178120e+02 6.842345e-02
5.261870e+02 6.940414e-02
5.346980e+02 7.059967e-02
5.433460e+02 7.191690e-02
5.521340e+02 7.325442e-02
5.610650e+02 7.464327e-02
5.701390e+02 7.608359e-02
5.793610e+02 7.764033e-02
5.887320e+02 7.925009e-02
5.982540e+02 8.090759e-02
6.079300e+02 8.260237e-02
6.177630e+02 8.433234e-02
6.277550e+02 8.605061e-02
6.379080e+02 8.720000e-02
6.482260e+02 8.756639e-02
6.587110e+02 8.740670e-02
6.693650e+02 8.724796e-02
6.801910e+02 8.769801e-02
6.911930e+02 8.867939e-02
7.023720e+02 9.021192e-02
7.137330e+02 9.222600e-02
7.252770e+02 9.460889e-02
7.370080e+02 9.705374e-02
7.489280e+02 9.956261e-02
7.610420e+02 1.021237e-01
7.733510e+02 1.046090e-01
7.858590e+02 1.066826e-01
7.985700e+02 1.083992e-01
8.114860e+02 1.101444e-01
8.246110e+02 1.119196e-01
8.379490e+02 1.137242e-01
8.515020e+02 1.159656e-01
8.652740e+02 1.187746e-01
8.792690e+02 1.221342e-01
8.934910e+02 1.255913e-01
9.079430e+02 1.291476e-01
9.226280e+02 1.328058e-01
9.375510e+02 1.364586e-01
9.527150e+02 1.401825e-01
9.681240e+02 1.439808e-01
9.837830e+02 1.478851e-01
9.996950e+02 1.519691e-01
1.015860e+03 1.562472e-01
1.032290e+03 1.614516e-01
1.048990e+03 1.668412e-01
1.065960e+03 1.724165e-01
1.083200e+03 1.781844e-01
1.100720e+03 1.841460e-01
1.118520e+03 1.903087e-01
1.136610e+03 1.966843e-01
1.155000e+03 2.032762e-01
1.173680e+03 2.100912e-01
1.192660e+03 2.171396e-01
1.211950e+03 2.244299e-01
1.231550e+03 2.319675e-01
1.251470e+03 2.397643e-01
1.271720e+03 2.478270e-01
1.292290e+03 2.561654e-01
1.313190e+03 2.647891e-01
1.334430e+03 2.737080e-01
1.356010e+03 2.829313e-01
1.377940e+03 2.924769e-01
1.400230e+03 3.023452e-01
1.422880e+03 3.125494e-01
1.445890e+03 3.231138e-01
1.469280e+03 3.340617e-01
1.493040e+03 3.454172e-01
1.517190e+03 3.573500e-01
1.541730e+03 3.697206e-01
1.566670e+03 3.825254e-01
1.592010e+03 3.957833e-01
1.617760e+03 4.095073e-01
1.643920e+03 4.237100e-01
1.670510e+03 4.384096e-01
1.697530e+03 4.536277e-01
1.724990e+03 4.693940e-01
1.752890e+03 4.861128e-01
1.781240e+03 5.035799e-01
1.810050e+03 5.218099e-01
1.839320e+03 5.407065e-01
1.869070e+03 5.602860e-01
1.899300e+03 5.805661e-01
1.930020e+03 6.015946e-01
1.961240e+03 6.233962e-01
1.992960e+03 6.459929e-01
2.025200e+03 6.690031e-01
2.057950e+03 6.937384e-01
2.091240e+03 7.195483e-01
2.125060e+03 7.464368e-01
2.159430e+03 7.744242e-01
2.194360e+03 8.036153e-01
2.229850e+03 8.340277e-01
2.265920e+03 8.657531e-01
2.302570e+03 8.988090e-01
2.339810e+03 9.333004e-01
2.377660e+03 9.692630e-01
2.389200e+03 9.803912e-01
2.389400e+03 3.615563e-01
2.416110e+03 3.717436e-01
2.455190e+03 3.869542e-01
2.485000e+03 3.988032e-01
2.485200e+03 2.725883e-01
2.494900e+03 2.752084e-01
2.535260e+03 2.862692e-01
2.576260e+03 2.977698e-01
2.617930e+03 3.097254e-01
2.660270e+03 3.221504e-01
2.703300e+03 3.350650e-01
2.747030e+03 3.484924e-01
2.791460e+03 3.624323e-01
2.836610e+03 3.769282e-01
2.882490e+03 3.919904e-01
2.929110e+03 4.076520e-01
2.956500e+03 4.170217e-01
2.956700e+03 3.599732e-01
2.976480e+03 3.658184e-01
3.024630e+03 3.802770e-01
3.073550e+03 3.953098e-01
3.123260e+03 4.109349e-01
3.173780e+03 4.271459e-01
3.225110e+03 4.440046e-01
3.277270e+03 4.614905e-01
3.330280e+03 4.796786e-01
3.384150e+03 4.985489e-01
3.415600e+03 5.097652e-01
3.415800e+03 4.820892e-01
3.438880e+03 4.900648e-01
3.494500e+03 5.096036e-01
3.551020e+03 5.298816e-01
3.608460e+03 5.509613e-01
3.666820e+03 5.728837e-01
3.704000e+03 5.871139e-01
3.704200e+03 5.664171e-01
3.726130e+03 5.742372e-01
3.786400e+03 5.960421e-01
3.847640e+03 6.188180e-01
3.909870e+03 6.425449e-01
3.973110e+03 6.672891e-01
4.037380e+03 6.931395e-01
4.102680e+03 7.201319e-01
4.169030e+03 7.482519e-01
4.236460e+03 7.775727e-01
4.304980e+03 8.082015e-01
4.374620e+03 8.401706e-01
4.445370e+03 8.734782e-01
4.517270e+03 9.082444e-01
4.590330e+03 9.445109e-01
4.664580e+03 9.823605e-01
4.740030e+03 1.021840e+00
4.816690e+03 1.063023e+00
4.894600e+03 1.105986e+00
4.973770e+03 1.150826e+00
5.054210e+03 1.197582e+00
5.135960e+03 1.246365e+00
5.219030e+03 1.297246e+00
5.303440e+03 1.350319e+00
5.389220e+03 1.405700e+00
5.476390e+03 1.463474e+00
5.564970e+03 1.523704e+00
5.654980e+03 1.586546e+00
5.746440e+03 1.652103e+00
5.839390e+03 1.720485e+00
5.933830e+03 1.791794e+00
6.029810e+03 1.866174e+00
6.127330e+03 1.943733e+00
6.226440e+03 2.024659e+00
6.327150e+03 2.109008e+00
6.429480e+03 2.196986e+00
6.533480e+03 2.288794e+00
6.639150e+03 2.384487e+00
