# material=As density=5.727
# Photon Energy [eV]  Attenuation Length [um]
1.040450e+04 4.894266e+01
1.057280e+04 5.120376e+01
1.074380e+04 5.357249e+01
1.091760e+04 5.605457e+01
1.109420e+04 5.865556e+01
1.127360e+04 6.138125e+01
1.145590e+04 6.423822e+01
1.164120e+04 6.723359e+01
1.182950e+04 7.037436e+01
1.186660e+04 7.100390e+01
1.186680e+04 9.476667e+00
1.202080e+04 9.788379e+00
1.221530e+04 1.019059e+01
1.241280e+04 1.061114e+01
1.261360e+04 1.105115e+01
1.281760e+04 1.151133e+01
1.302500e+04 1.199284e+01
1.323560e+04 1.249635e+01
1.344970e+04 1.302312e+01
1.366720e+04 1.357419e+01
1.388830e+04 1.415074e+01
1.411290e+04 1.475385e+01
1.434120e+04 1.538487e+01
1.457310e+04 1.604502e+01
1.480890e+04 1.673589e+01
1.504840e+04 1.745868e+01
1.529180e+04 1.821492e+01
1.553910e+04 1.900629e+01
1.579040e+04 1.983439e+01
1.604580e+04 2.070103e+01
1.630540e+04 2.160804e+01
1.656910e+04 2.255711e+01
1.683710e+04 2.355054e+01
1.710940e+04 2.459025e+01
1.738610e+04 2.567837e+01
1.766740e+04 2.681762e+01
1.795310e+04 2.800989e+01
1.824350e+04 2.925805e+01
1.853860e+04 3.056462e+01
1.883840e+04 3.193221e+01
1.914310e+04 3.336408e+01
1.945270e+04 3.486313e+01
1.976740e+04 3.643275e+01
2.008710e+04 3.807615e+01
2.041200e+04 3.979681e+01
2.074210e+04 4.159817e+01
2.107760e+04 4.348481e+01
2.141850e+04 4.545999e+01
2.176500e+04 4.752907e+01
2.211700e+04 4.969508e+01
2.247470e+04 5.196389e+01
2.283820e+04 5.433964e+01
2.320760e+04 5.682823e+01
2.358300e+04 5.943464e+01
2.396440e+04 6.216418e+01
2.435200e+04 6.502353e+01
2.474590e+04 6.801835e+01
2.514620e+04 7.115573e+01
2.555290e+04 7.444158e+01
2.596620e+04 7.788401e+01
2.638610e+04 8.148954e+01
2.681290e+04 8.526783e+01
2.724660e+04 8.922571e+01
2.768730e+04 9.337226e+01
2.813510e+04 9.771653e+01
2.859020e+04 1.022684e+02
2.905260e+04 1.070373e+02
2.952250e+04 1.120342e+02
3.000000e+04 1.172701e+02
