# material=Al density=2.7
# Photon Energy [eV]  Attenuation Length [um]
5.303440e+03 2.354256e+01
5.389220e+03 2.465389e+01
5.476390e+03 2.581864e+01
5.564970e+03 2.704091e+01
5.654980e+03 2.832079e+01
5.746440e+03 2.966241e+01
5.839390e+03 3.106916e+01
5.933830e+03 3.254379e+01
6.029810e+03 3.409191e+01
6.127330e+03 3.571176e+01
6.226440e+03 3.741282e+01
6.327150e+03 3.919574e+01
6.429480e+03 4.106510e+01
6.533480e+03 4.302526e+01
6.639150e+03 4.508087e+01
6.746540e+03 4.723590e+01
6.855650e+03 4.949633e+01
6.966540e+03 5.186652e+01
7.079220e+03 5.435216e+01
7.193720e+03 5.695913e+01
7.310070e+03 5.969331e+01
7.428310e+03 6.256117e+01
7.548450e+03 6.556884e+01
7.670540e+03 6.872408e+01
7.794610e+03 7.203317e+01
7.920680e+03 7.550506e+01
8.048790e+03 7.914557e+01
8.178980e+03 8.296515e+01
8.311260e+03 8.697282e+01
8.445690e+03 9.117585e+01
8.582290e+03 9.558797e+01
8.721110e+03 1.002151e+02
8.862160e+03 1.050688e+02
9.005500e+03 1.101633e+02
9.151160e+03 1.155098e+02
9.299170e+03 1.211177e+02
9.449580e+03 1.270039e+02
9.602420e+03 1.331764e+02
9.757730e+03 1.396598e+02
9.915550e+03 1.464565e+02
1.007590e+04 1.535938e+02
1.023890e+04 1.610863e+02
1.040450e+04 1.689488e+02
1.057280e+04 1.772007e+02
1.074380e+04 1.858633e+02
1.091760e+04 1.949569e+02
1.109420e+04 2.045029e+02
1.127360e+04 2.145221e+02
1.145590e+04 2.250416e+02
1.164120e+04 2.360850e+02
1.182950e+04 2.476812e+02
1.202080e+04 2.598565e+02
1.221530e+04 2.726432e+02
1.241280e+04 2.860663e+02
1.261360e+04 3.001637e+02
1.281760e+04 3.149681e+02
1.302500e+04 3.305189e+02
1.323560e+04 3.468480e+02
1.344970e+04 3.640011e+02
1.366720e+04 3.820176e+02
1.388830e+04 4.009455e+02
1.411290e+04 4.208279e+02
1.434120e+04 4.417178e+02
1.457310e+04 4.636637e+02
1.480890e+04 4.867270e+02
1.504840e+04 5.109584e+02
1.529180e+04 5.364229e+02
1.553910e+04 5.631828e+02
1.579040e+04 5.913094e+02
1.604580e+04 6.208733e+02
1.630540e+04 6.519533e+02
1.656910e+04 6.846217e+02
1.683710e+04 7.189691e+02
1.710940e+04 7.550820e+02
1.738610e+04 7.930540e+02
1.766740e+04 8.329923e+02
1.795310e+04 8.749890e+02
1.824350e+04 9.191644e+02
1.853860e+04 9.656332e+02
1.883840e+04 1.014516e+03
1.914310e+04 1.065947e+03
1.945270e+04 1.120064e+03
1.976740e+04 1.177022e+03
2.008710e+04 1.237313e+03
2.041200e+04 1.300371e+03
2.074210e+04 1.366672e+03
2.107760e+04 1.436394e+03
2.141850e+04 1.509707e+03
2.176500e+04 1.586805e+03
2.211700e+04 1.667881e+03
2.247470e+04 1.753138e+03
2.283820e+04 1.842805e+03
2.320760e+04 1.937114e+03
2.358300e+04 2.036305e+03
2.396440e+04 2.140626e+03
2.435200e+04 2.250354e+03
2.474590e+04 2.365777e+03
2.514620e+04 2.487193e+03
2.555290e+04 2.614908e+03
2.596620e+04 2.749265e+03
2.638610e+04 2.890600e+03
2.681290e+04 3.039298e+03
2.724660e+04 3.195754e+03
2.768730e+04 3.360352e+03
2.813510e+04 3.533546e+03
2.859020e+04 3.715782e+03
2.905260e+04 3.907548e+03
2.952250e+04 4.109321e+03
3.000000e+04 4.321664e+03
