# material=P density=1.823
# Photon Energy [eV]  Attenuation Length [um]
3.277270e+03 6.022555e+00
3.330280e+03 6.286051e+00
3.384150e+03 6.561754e+00
3.438880e+03 6.850319e+00
3.494500e+03 7.152299e+00
3.551020e+03 7.468324e+00
3.608460e+03 7.799158e+00
3.666820e+03 8.145444e+00
3.726130e+03 8.507911e+00
3.786400e+03 8.887370e+00
3.847640e+03 9.284571e+00
3.909870e+03 9.700369e+00
3.973110e+03 1.013560e+01
4.037380e+03 1.059131e+01
4.102680e+03 1.106846e+01
4.169030e+03 1.156793e+01
4.236460e+03 1.209096e+01
4.304980e+03 1.263878e+01
4.374620e+03 1.321233e+01
4.445370e+03 1.381285e+01
4.517270e+03 1.444169e+01
4.590330e+03 1.510007e+01
4.664580e+03 1.578994e+01
4.740030e+03 1.651214e+01
4.816690e+03 1.726862e+01
4.894600e+03 1.806079e+01
4.973770e+03 1.889105e+01
5.054210e+03 1.976016e+01
5.135960e+03 2.067042e+01
5.219030e+03 2.162390e+01
5.303440e+03 2.262312e+01
5.389220e+03 2.366967e+01
5.476390e+03 2.476594e+01
5.564970e+03 2.591483e+01
5.654980e+03 2.711780e+01
5.746440e+03 2.837888e+01
5.839390e+03 2.969890e+01
5.933830e+03 3.108311e+01
6.029810e+03 3.253440e+01
6.127330e+03 3.405217e+01
6.226440e+03 3.564504e+01
6.327150e+03 3.731256e+01
6.429480e+03 3.906074e+01
6.533480e+03 4.089454e+01
6.639150e+03 4.281360e+01
6.746540e+03 4.482646e+01
6.855650e+03 4.693488e+01
6.966540e+03 4.914257e+01
7.079220e+03 5.146200e+01
7.193720e+03 5.388812e+01
7.310070e+03 5.643257e+01
7.428310e+03 5.909998e+01
7.548450e+03 6.189602e+01
7.670540e+03 6.482664e+01
7.794610e+03 6.789829e+01
7.920680e+03 7.111862e+01
8.048790e+03 7.449539e+01
8.178980e+03 7.803472e+01
8.311260e+03 8.174592e+01
8.445690e+03 8.563542e+01
8.582290e+03 8.971503e+01
8.721110e+03 9.399142e+01
8.862160e+03 9.847635e+01
9.005500e+03 1.031779e+02
9.151160e+03 1.081080e+02
9.299170e+03 1.132779e+02
9.449580e+03 1.187006e+02
9.602420e+03 1.243862e+02
9.757730e+03 1.303482e+02
9.915550e+03 1.365984e+02
1.007590e+04 1.431565e+02
1.023890e+04 1.500349e+02
1.040450e+04 1.572496e+02
1.057280e+04 1.648169e+02
1.074380e+04 1.727544e+02
1.091760e+04 1.810808e+02
1.109420e+04 1.898159e+02
1.127360e+04 1.989771e+02
1.145590e+04 2.085892e+02
1.164120e+04 2.186737e+02
1.182950e+04 2.292545e+02
1.202080e+04 2.403545e+02
1.221530e+04 2.520045e+02
1.241280e+04 2.642252e+02
1.261360e+04 2.770499e+02
1.281760e+04 2.905085e+02
1.302500e+04 3.046349e+02
1.323560e+04 3.194550e+02
1.344970e+04 3.350121e+02
1.366720e+04 3.513406e+02
1.388830e+04 3.684801e+02
1.411290e+04 3.864688e+02
1.434120e+04 4.053559e+02
1.457310e+04 4.251795e+02
1.480890e+04 4.459942e+02
1.504840e+04 4.678497e+02
1.529180e+04 4.907941e+02
1.553910e+04 5.148856e+02
1.579040e+04 5.401819e+02
1.604580e+04 5.667532e+02
1.630540e+04 5.946603e+02
1.656910e+04 6.239639e+02
1.683710e+04 6.547521e+02
1.710940e+04 6.870862e+02
1.738610e+04 7.210546e+02
1.766740e+04 7.567489e+02
1.795310e+04 7.942457e+02
1.824350e+04 8.336498e+02
1.853860e+04 8.750572e+02
1.883840e+04 9.185718e+02
1.914310e+04 9.643094e+02
1.945270e+04 1.012383e+03
1.976740e+04 1.062928e+03
2.008710e+04 1.115911e+03
2.041200e+04 1.171743e+03
2.074210e+04 1.230404e+03
2.107760e+04 1.292051e+03
2.141850e+04 1.356829e+03
2.176500e+04 1.424911e+03
2.211700e+04 1.496449e+03
2.247470e+04 1.571634e+03
2.283820e+04 1.650653e+03
2.320760e+04 1.733707e+03
2.358300e+04 1.821005e+03
2.396440e+04 1.912759e+03
2.435200e+04 2.009207e+03
2.474590e+04 2.110596e+03
2.514620e+04 2.217183e+03
2.555290e+04 2.329222e+03
2.596620e+04 2.447014e+03
2.638610e+04 2.570848e+03
2.681290e+04 2.701055e+03
2.724660e+04 2.837961e+03
2.768730e+04 2.981910e+03
2.813510e+04 3.133280e+03
2.859020e+04 3.292446e+03
2.905260e+04 3.459829e+03
2.952250e+04 3.635863e+03
3.000000e+04 3.820984e+03
