# material=Pa density=15.37
# Photon Energy [eV]  Attenuation Length [um]
5.476390e+03 7.819183e-01
5.564970e+03 8.126784e-01
5.654980e+03 8.447939e-01
5.746440e+03 8.783444e-01
5.839390e+03 9.133633e-01
5.933830e+03 9.499223e-01
6.029810e+03 9.881015e-01
6.127330e+03 1.027953e+00
6.226440e+03 1.069576e+00
6.327150e+03 1.113017e+00
6.429480e+03 1.158353e+00
6.533480e+03 1.205701e+00
6.639150e+03 1.255120e+00
6.746540e+03 1.306715e+00
6.855650e+03 1.360551e+00
6.966540e+03 1.416774e+00
7.079220e+03 1.475431e+00
7.193720e+03 1.536673e+00
7.310070e+03 1.600569e+00
7.428310e+03 1.667285e+00
7.548450e+03 1.736890e+00
7.670540e+03 1.809509e+00
7.794610e+03 1.885318e+00
7.920680e+03 1.964441e+00
8.048790e+03 2.046952e+00
8.178980e+03 2.133093e+00
8.311260e+03 2.222918e+00
8.445690e+03 2.316669e+00
8.582290e+03 2.414470e+00
8.721110e+03 2.516449e+00
8.862160e+03 2.622827e+00
9.005500e+03 2.733858e+00
9.151160e+03 2.849591e+00
9.299170e+03 2.970330e+00
9.449580e+03 3.096284e+00
9.602420e+03 3.227452e+00
9.757730e+03 3.364364e+00
9.915550e+03 3.507097e+00
1.007590e+04 3.675173e+00
1.023890e+04 3.850779e+00
1.040450e+04 4.034061e+00
1.057280e+04 4.225226e+00
1.074380e+04 4.424396e+00
1.091760e+04 4.631751e+00
1.109420e+04 4.847381e+00
1.127360e+04 5.071353e+00
1.145590e+04 5.303752e+00
1.164120e+04 5.544634e+00
1.182950e+04 5.793975e+00
1.202080e+04 6.051693e+00
1.221530e+04 6.317798e+00
1.241280e+04 6.592024e+00
1.261360e+04 6.874334e+00
1.281760e+04 7.164426e+00
1.302500e+04 7.462108e+00
1.323560e+04 7.766924e+00
1.344970e+04 8.078627e+00
1.366720e+04 8.396744e+00
1.388830e+04 8.720849e+00
1.411290e+04 9.050375e+00
1.434120e+04 9.384821e+00
1.457310e+04 9.723505e+00
1.480890e+04 1.006592e+01
1.504840e+04 1.041125e+01
1.529180e+04 1.075890e+01
1.553910e+04 1.110809e+01
1.579040e+04 1.145813e+01
1.604580e+04 1.180830e+01
1.630540e+04 1.215791e+01
1.656910e+04 1.250610e+01
1.673300e+04 1.272464e+01
1.673320e+04 5.484673e+00
1.683710e+04 5.577947e+00
1.710940e+04 5.827150e+00
1.738610e+04 6.087502e+00
1.766740e+04 6.359493e+00
1.795310e+04 6.643596e+00
1.824350e+04 6.940427e+00
1.853860e+04 7.250503e+00
1.883840e+04 7.574410e+00
1.914310e+04 7.912798e+00
1.945270e+04 8.266284e+00
1.976740e+04 8.635593e+00
2.008710e+04 9.021356e+00
2.031360e+04 9.301145e+00
2.031380e+04 6.582850e+00
2.041200e+04 6.662299e+00
2.074210e+04 6.933685e+00
2.107760e+04 7.216213e+00
2.110450e+04 7.239160e+00
2.110470e+04 6.438463e+00
2.141850e+04 6.669242e+00
2.176500e+04 6.929471e+00
2.211700e+04 7.201425e+00
2.247470e+04 7.485610e+00
2.283820e+04 7.782653e+00
2.320760e+04 8.093137e+00
2.358300e+04 8.417574e+00
2.396440e+04 8.756635e+00
2.435200e+04 9.110981e+00
2.474590e+04 9.481303e+00
2.514620e+04 9.868336e+00
2.555290e+04 1.027278e+01
2.596620e+04 1.069545e+01
2.638610e+04 1.113716e+01
2.681290e+04 1.159882e+01
2.724660e+04 1.208129e+01
2.768730e+04 1.258553e+01
2.813510e+04 1.311250e+01
2.859020e+04 1.366325e+01
2.905260e+04 1.423884e+01
2.952250e+04 1.484043e+01
3.000000e+04 1.546916e+01
