# material=Pt density=21.09
# Photon Energy [eV]  Attenuation Length [um]
8.680450e+02 7.611214e-02
8.789160e+02 7.782841e-02
8.899230e+02 7.958339e-02
9.010680e+02 8.137826e-02
9.123520e+02 8.321308e-02
9.237780e+02 8.509875e-02
9.353470e+02 8.711146e-02
9.470600e+02 8.917138e-02
9.589210e+02 9.128048e-02
9.709300e+02 9.343925e-02
9.830890e+02 9.564915e-02
9.954010e+02 9.791095e-02
1.007870e+03 1.002268e-01
1.020490e+03 1.026530e-01
1.033270e+03 1.052369e-01
1.046210e+03 1.078865e-01
1.059310e+03 1.106025e-01
1.072580e+03 1.133872e-01
1.086010e+03 1.162414e-01
1.099610e+03 1.191674e-01
1.113380e+03 1.221672e-01
1.127320e+03 1.252429e-01
1.141440e+03 1.283956e-01
1.155740e+03 1.316288e-01
1.170210e+03 1.349422e-01
1.184870e+03 1.383396e-01
1.199700e+03 1.418216e-01
1.214730e+03 1.453928e-01
1.229940e+03 1.490524e-01
1.245340e+03 1.528049e-01
1.260940e+03 1.567383e-01
1.276730e+03 1.608300e-01
1.292720e+03 1.650289e-01
1.308910e+03 1.693380e-01
1.325300e+03 1.737594e-01
1.341900e+03 1.782955e-01
1.358700e+03 1.829494e-01
1.375720e+03 1.877273e-01
1.392950e+03 1.926279e-01
1.410390e+03 1.976571e-01
1.428060e+03 2.028178e-01
1.445940e+03 2.081136e-01
1.464050e+03 2.135460e-01
1.482380e+03 2.191217e-01
1.500950e+03 2.249173e-01
1.519740e+03 2.309670e-01
1.538780e+03 2.371813e-01
1.558050e+03 2.435620e-01
1.577560e+03 2.501124e-01
1.597320e+03 2.568427e-01
1.617320e+03 2.637513e-01
1.637570e+03 2.708453e-01
1.658080e+03 2.781321e-01
1.678850e+03 2.856155e-01
1.699870e+03 2.932979e-01
1.721160e+03 3.011888e-01
1.742720e+03 3.092926e-01
1.764540e+03 3.177626e-01
1.786640e+03 3.266068e-01
1.809010e+03 3.356933e-01
1.831670e+03 3.450363e-01
1.854610e+03 3.546363e-01
1.877830e+03 3.645048e-01
1.901350e+03 3.746481e-01
1.925160e+03 3.850730e-01
1.949270e+03 3.957874e-01
1.973680e+03 4.068009e-01
1.998400e+03 4.181178e-01
2.023430e+03 4.297563e-01
2.048770e+03 4.417107e-01
2.074420e+03 4.542761e-01
2.100400e+03 4.673567e-01
2.121500e+03 4.781333e-01
2.121700e+03 1.700127e-01
2.126710e+03 1.709620e-01
2.153340e+03 1.760612e-01
2.180310e+03 1.813140e-01
2.201800e+03 1.855630e-01
2.202000e+03 1.255899e-01
2.207610e+03 1.263712e-01
2.235260e+03 1.302627e-01
2.263250e+03 1.342735e-01
2.291600e+03 1.384086e-01
2.320290e+03 1.426699e-01
2.349350e+03 1.470635e-01
2.378770e+03 1.515915e-01
2.408560e+03 1.562592e-01
2.438730e+03 1.610716e-01
2.469270e+03 1.660310e-01
2.500190e+03 1.711432e-01
2.531500e+03 1.764133e-01
2.563210e+03 1.818457e-01
2.595310e+03 1.874454e-01
2.627810e+03 1.932171e-01
2.645300e+03 1.963658e-01
2.645500e+03 1.697285e-01
2.660720e+03 1.721454e-01
2.694040e+03 1.775086e-01
2.727780e+03 1.830384e-01
2.761940e+03 1.887407e-01
2.796530e+03 1.946209e-01
2.831550e+03 2.006841e-01
2.867010e+03 2.069356e-01
2.902920e+03 2.133832e-01
2.939270e+03 2.200305e-01
2.976080e+03 2.268850e-01
3.013350e+03 2.339536e-01
3.026400e+03 2.364584e-01
3.026600e+03 2.227247e-01
3.051090e+03 2.271296e-01
3.089300e+03 2.341029e-01
3.127990e+03 2.412903e-01
3.167160e+03 2.486991e-01
3.206820e+03 2.563341e-01
3.246980e+03 2.642038e-01
3.287650e+03 2.723163e-01
3.295900e+03 2.739804e-01
3.296100e+03 2.626578e-01
3.328820e+03 2.689812e-01
3.370510e+03 2.771660e-01
3.412720e+03 2.855998e-01
3.455460e+03 2.942900e-01
3.498730e+03 3.032445e-01
3.542550e+03 3.124722e-01
3.586910e+03 3.219793e-01
3.631830e+03 3.317763e-01
3.677310e+03 3.418856e-01
3.723370e+03 3.523525e-01
3.770000e+03 3.631373e-01
3.817210e+03 3.742543e-01
3.865010e+03 3.857104e-01
3.913420e+03 3.975312e-01
3.962430e+03 4.098894e-01
4.012050e+03 4.226316e-01
4.062290e+03 4.357717e-01
4.113170e+03 4.493185e-01
4.164680e+03 4.632866e-01
4.216830e+03 4.776890e-01
4.269640e+03 4.925374e-01
4.323110e+03 5.078524e-01
4.377250e+03 5.236402e-01
4.432070e+03 5.399180e-01
4.487580e+03 5.568737e-01
4.543780e+03 5.744222e-01
4.600680e+03 5.924851e-01
4.658300e+03 6.109549e-01
4.716640e+03 6.299956e-01
4.775700e+03 6.496315e-01
4.835510e+03 6.698843e-01
4.896070e+03 6.908080e-01
4.957380e+03 7.141873e-01
5.019470e+03 7.367192e-01
5.082330e+03 7.601981e-01
5.145980e+03 7.850390e-01
5.210420e+03 8.081221e-01
5.275670e+03 8.335751e-01
5.341740e+03 8.613879e-01
5.408640e+03 8.898666e-01
5.476380e+03 9.161381e-01
5.544960e+03 9.453889e-01
5.614400e+03 9.743835e-01
5.684710e+03 1.004800e+00
5.755900e+03 1.037999e+00
5.827990e+03 1.074834e+00
5.900970e+03 1.106177e+00
5.974870e+03 1.141941e+00
6.049700e+03 1.182029e+00
6.125460e+03 1.221122e+00
6.202170e+03 1.257373e+00
6.279850e+03 1.296705e+00
6.358490e+03 1.339646e+00
6.438120e+03 1.385573e+00
6.518750e+03 1.427580e+00
6.600390e+03 1.473821e+00
6.683050e+03 1.520501e+00
6.766740e+03 1.567757e+00
6.851480e+03 1.618689e+00
6.937290e+03 1.671278e+00
7.024160e+03 1.725577e+00
7.112130e+03 1.781639e+00
7.201200e+03 1.839522e+00
7.291380e+03 1.899284e+00
7.382700e+03 1.960318e+00
7.475150e+03 2.023131e+00
7.568770e+03 2.088105e+00
7.663550e+03 2.155716e+00
7.759530e+03 2.225519e+00
7.856700e+03 2.297578e+00
7.955100e+03 2.371980e+00
8.054720e+03 2.448781e+00
8.155590e+03 2.528072e+00
8.257730e+03 2.609931e+00
8.361140e+03 2.696126e+00
8.465850e+03 2.785532e+00
8.571880e+03 2.871240e+00
8.679220e+03 2.964252e+00
8.787920e+03 3.060798e+00
8.897970e+03 3.162368e+00
9.009410e+03 3.271167e+00
9.122230e+03 3.377639e+00
9.236470e+03 3.487576e+00
9.352150e+03 3.601092e+00
9.469270e+03 3.718305e+00
9.587860e+03 3.839340e+00
9.707930e+03 3.964309e+00
9.829500e+03 4.091279e+00
9.952600e+03 4.223707e+00
1.007720e+04 4.367360e+00
1.020340e+04 4.515923e+00
1.033120e+04 4.676425e+00
1.046060e+04 4.845380e+00
1.059160e+04 5.019228e+00
1.072430e+04 5.191914e+00
1.085860e+04 5.362793e+00
1.099450e+04 5.546399e+00
1.113220e+04 5.739845e+00
1.127160e+04 5.931028e+00
1.141280e+04 6.145535e+00
1.155570e+04 6.368026e+00
1.156270e+04 6.378967e+00
1.156290e+04 2.429646e+00
1.170050e+04 2.513360e+00
1.184700e+04 2.604526e+00
1.199530e+04 2.695318e+00
