# material=Hf density=13.31
# Photon Energy [eV]  Attenuation Length [um]
3.666820e+03 6.821246e-01
3.726130e+03 7.095981e-01
3.786400e+03 7.381104e-01
3.847640e+03 7.677680e-01
3.909870e+03 7.986329e-01
3.973110e+03 8.307296e-01
4.037380e+03 8.641071e-01
4.102680e+03 8.988183e-01
4.169030e+03 9.349241e-01
4.236460e+03 9.724708e-01
4.304980e+03 1.011544e+00
4.374620e+03 1.052198e+00
4.445370e+03 1.094493e+00
4.517270e+03 1.138495e+00
4.590330e+03 1.184276e+00
4.664580e+03 1.231946e+00
4.740030e+03 1.281536e+00
4.816690e+03 1.333162e+00
4.894600e+03 1.386900e+00
4.973770e+03 1.442868e+00
5.054210e+03 1.501117e+00
5.135960e+03 1.561770e+00
5.219030e+03 1.624957e+00
5.303440e+03 1.690749e+00
5.389220e+03 1.759282e+00
5.476390e+03 1.830690e+00
5.564970e+03 1.905066e+00
5.654980e+03 1.982573e+00
5.746440e+03 2.063337e+00
5.839390e+03 2.147535e+00
5.933830e+03 2.235287e+00
6.029810e+03 2.326728e+00
6.127330e+03 2.422146e+00
6.226440e+03 2.521579e+00
6.327150e+03 2.625357e+00
6.429480e+03 2.733505e+00
6.533480e+03 2.846478e+00
6.639150e+03 2.964278e+00
6.746540e+03 3.087169e+00
6.855650e+03 3.215515e+00
6.966540e+03 3.349487e+00
7.079220e+03 3.489314e+00
7.193720e+03 3.635487e+00
7.310070e+03 3.788107e+00
7.428310e+03 3.947540e+00
7.548450e+03 4.114107e+00
7.670540e+03 4.288246e+00
7.794610e+03 4.470267e+00
7.920680e+03 4.660690e+00
8.048790e+03 4.860109e+00
8.178980e+03 5.068368e+00
8.311260e+03 5.286578e+00
8.445690e+03 5.514818e+00
8.582290e+03 5.753957e+00
8.721110e+03 6.004490e+00
8.862160e+03 6.266697e+00
9.005500e+03 6.541662e+00
9.151160e+03 6.829850e+00
9.299170e+03 7.132409e+00
9.449580e+03 7.449734e+00
9.560600e+03 7.689574e+00
9.560800e+03 2.818991e+00
9.602420e+03 2.853838e+00
9.757730e+03 2.986303e+00
9.915550e+03 3.124965e+00
