# material=Ba density=3.51
# Photon Energy [eV]  Attenuation Length [um]
6.429480e+03 4.698983e+00
6.533480e+03 4.888229e+00
6.639150e+03 5.086062e+00
6.746540e+03 5.292793e+00
6.855650e+03 5.508965e+00
6.966540e+03 5.734923e+00
7.079220e+03 5.971223e+00
7.193720e+03 6.218197e+00
7.310070e+03 6.476339e+00
7.428310e+03 6.746304e+00
7.548450e+03 7.028597e+00
7.670540e+03 7.323690e+00
7.794610e+03 7.632172e+00
7.920680e+03 7.954549e+00
8.048790e+03 8.291874e+00
8.178980e+03 8.644498e+00
8.311260e+03 9.013263e+00
8.445690e+03 9.398667e+00
8.582290e+03 9.801633e+00
8.721110e+03 1.022331e+01
8.862160e+03 1.066412e+01
9.005500e+03 1.112481e+01
9.151160e+03 1.160705e+01
9.299170e+03 1.211114e+01
9.449580e+03 1.263849e+01
9.602420e+03 1.318976e+01
9.757730e+03 1.376639e+01
9.915550e+03 1.436931e+01
1.007590e+04 1.499993e+01
1.023890e+04 1.565958e+01
1.040450e+04 1.634943e+01
1.057280e+04 1.707102e+01
1.074380e+04 1.782567e+01
1.091760e+04 1.861510e+01
1.109420e+04 1.944076e+01
1.127360e+04 2.030431e+01
1.145590e+04 2.120758e+01
1.164120e+04 2.215247e+01
1.182950e+04 2.314090e+01
1.202080e+04 2.417467e+01
1.221530e+04 2.525628e+01
1.241280e+04 2.638739e+01
1.261360e+04 2.757085e+01
1.281760e+04 2.880869e+01
1.302500e+04 3.010379e+01
1.323560e+04 3.145825e+01
1.344970e+04 3.287527e+01
1.366720e+04 3.435758e+01
1.388830e+04 3.590826e+01
1.411290e+04 3.753033e+01
1.434120e+04 3.922733e+01
1.457310e+04 4.100229e+01
1.480890e+04 4.285947e+01
1.504840e+04 4.480205e+01
1.529180e+04 4.683412e+01
1.553910e+04 4.895981e+01
1.579040e+04 5.118342e+01
1.604580e+04 5.350946e+01
1.630540e+04 5.594308e+01
1.656910e+04 5.848858e+01
1.683710e+04 6.115129e+01
1.710940e+04 6.393626e+01
1.738610e+04 6.684971e+01
1.766740e+04 6.989780e+01
1.795310e+04 7.308534e+01
1.824350e+04 7.641968e+01
1.853860e+04 7.990768e+01
1.883840e+04 8.355547e+01
1.914310e+04 8.737105e+01
1.945270e+04 9.136155e+01
1.976740e+04 9.553581e+01
2.008710e+04 9.990123e+01
2.041200e+04 1.044670e+02
2.074210e+04 1.092419e+02
2.107760e+04 1.142359e+02
2.141850e+04 1.194581e+02
2.176500e+04 1.249201e+02
2.211700e+04 1.306304e+02
2.247470e+04 1.366021e+02
2.283820e+04 1.428475e+02
2.320760e+04 1.493766e+02
2.358300e+04 1.562037e+02
2.396440e+04 1.633427e+02
2.435200e+04 1.708055e+02
2.474590e+04 1.786076e+02
2.514620e+04 1.867656e+02
2.555290e+04 1.952932e+02
2.596620e+04 2.042079e+02
2.638610e+04 2.135245e+02
2.681290e+04 2.232646e+02
2.724660e+04 2.334449e+02
2.768730e+04 2.440855e+02
2.813510e+04 2.552056e+02
2.859020e+04 2.668253e+02
2.905260e+04 2.789688e+02
2.952250e+04 2.916582e+02
3.000000e+04 3.049169e+02
