# material=Ti density=4.507
# Photon Energy [eV]  Attenuation Length [um]
1.911420e+04 1.269150e+02
1.942330e+04 1.330187e+02
1.973750e+04 1.394220e+02
2.005670e+04 1.461382e+02
2.038110e+04 1.531842e+02
2.071080e+04 1.605761e+02
2.104570e+04 1.683297e+02
2.138610e+04 1.764645e+02
2.173200e+04 1.849991e+02
2.208350e+04 1.939528e+02
2.244070e+04 2.033474e+02
2.280370e+04 2.132045e+02
2.317250e+04 2.235467e+02
2.354730e+04 2.343990e+02
2.392820e+04 2.457858e+02
2.431520e+04 2.577340e+02
2.470850e+04 2.702729e+02
2.510810e+04 2.834305e+02
2.551420e+04 2.972384e+02
2.592690e+04 3.117287e+02
2.634620e+04 3.269357e+02
2.677240e+04 3.428963e+02
2.720540e+04 3.596463e+02
2.764540e+04 3.772272e+02
2.809260e+04 3.956812e+02
2.854690e+04 4.150485e+02
2.900870e+04 4.353790e+02
2.947790e+04 4.567176e+02
2.995460e+04 4.791152e+02
3.000000e+04 4.812871e+02
