# material=Tm density=9.321
# Photon Energy [eV]  Attenuation Length [um]
1.630540e+04 1.140026e+01
1.656910e+04 1.189529e+01
1.683710e+04 1.241283e+01
1.710940e+04 1.295382e+01
1.738610e+04 1.351941e+01
1.766740e+04 1.411079e+01
1.795310e+04 1.472895e+01
1.824350e+04 1.537529e+01
1.853860e+04 1.605102e+01
1.883840e+04 1.675748e+01
1.914310e+04 1.749611e+01
1.945270e+04 1.826834e+01
1.976740e+04 1.907586e+01
2.008710e+04 1.992005e+01
2.041200e+04 2.080275e+01
2.074210e+04 2.172564e+01
2.107760e+04 2.269072e+01
2.141850e+04 2.369966e+01
2.176500e+04 2.475484e+01
2.211700e+04 2.585790e+01
2.247470e+04 2.701138e+01
2.283820e+04 2.821747e+01
2.320760e+04 2.947868e+01
2.358300e+04 3.079748e+01
2.396440e+04 3.217634e+01
2.435200e+04 3.361818e+01
2.474590e+04 3.512594e+01
2.514620e+04 3.670260e+01
2.555290e+04 3.835100e+01
2.596620e+04 4.007480e+01
2.638610e+04 4.187726e+01
2.681290e+04 4.376214e+01
2.724660e+04 4.573304e+01
2.768730e+04 4.779406e+01
2.813510e+04 4.994897e+01
2.859020e+04 5.220248e+01
2.905260e+04 5.455896e+01
2.952250e+04 5.702295e+01
3.000000e+04 5.959915e+01
