# material=Ge density=5.323
# Photon Energy [eV]  Attenuation Length [um]
2.025200e+03 6.980084e-01
2.057950e+03 7.269477e-01
2.091240e+03 7.571994e-01
2.125060e+03 7.887859e-01
2.159430e+03 8.217659e-01
2.194360e+03 8.561987e-01
2.229850e+03 8.922148e-01
2.265920e+03 9.297990e-01
2.302570e+03 9.690550e-01
2.339810e+03 1.010061e+00
2.377660e+03 1.052906e+00
2.416110e+03 1.097632e+00
2.455190e+03 1.144410e+00
2.494900e+03 1.193247e+00
2.535260e+03 1.244247e+00
2.576260e+03 1.297517e+00
2.617930e+03 1.353157e+00
2.660270e+03 1.411282e+00
2.703300e+03 1.472081e+00
2.747030e+03 1.535532e+00
2.791460e+03 1.601870e+00
2.836610e+03 1.671106e+00
2.882490e+03 1.743412e+00
2.929110e+03 1.818996e+00
2.976480e+03 1.898006e+00
3.024630e+03 1.980568e+00
3.073550e+03 2.066770e+00
3.123260e+03 2.156857e+00
3.173780e+03 2.250987e+00
3.225110e+03 2.349332e+00
3.277270e+03 2.452080e+00
3.330280e+03 2.559450e+00
3.384150e+03 2.671631e+00
3.438880e+03 2.788852e+00
3.494500e+03 2.911336e+00
3.551020e+03 3.039299e+00
3.608460e+03 3.173035e+00
3.666820e+03 3.312787e+00
3.726130e+03 3.458818e+00
3.786400e+03 3.611396e+00
3.847640e+03 3.770828e+00
3.909870e+03 3.937469e+00
3.973110e+03 4.111638e+00
4.037380e+03 4.293569e+00
4.102680e+03 4.483758e+00
4.169030e+03 4.682480e+00
4.236460e+03 4.890150e+00
4.304980e+03 5.107312e+00
4.374620e+03 5.334139e+00
4.445370e+03 5.571166e+00
4.517270e+03 5.818958e+00
4.590330e+03 6.078089e+00
4.664580e+03 6.348735e+00
4.740030e+03 6.631757e+00
4.816690e+03 6.927295e+00
4.894600e+03 7.236356e+00
4.973770e+03 7.559529e+00
5.054210e+03 7.897311e+00
5.135960e+03 8.250198e+00
5.219030e+03 8.619226e+00
5.303440e+03 9.005217e+00
5.389220e+03 9.408261e+00
5.476390e+03 9.829673e+00
5.564970e+03 1.027068e+01
5.654980e+03 1.073149e+01
5.746440e+03 1.121299e+01
5.839390e+03 1.171690e+01
5.933830e+03 1.224319e+01
6.029810e+03 1.279393e+01
6.127330e+03 1.336946e+01
6.226440e+03 1.397170e+01
6.327150e+03 1.460100e+01
6.429480e+03 1.525887e+01
6.533480e+03 1.594839e+01
6.639150e+03 1.666842e+01
6.746540e+03 1.742073e+01
6.855650e+03 1.820802e+01
6.966540e+03 1.903250e+01
7.079220e+03 1.989425e+01
7.193720e+03 2.079575e+01
7.310070e+03 2.173903e+01
7.428310e+03 2.272565e+01
7.548450e+03 2.375796e+01
7.670540e+03 2.483793e+01
7.794610e+03 2.596819e+01
7.920680e+03 2.715101e+01
8.048790e+03 2.838899e+01
8.178980e+03 2.968451e+01
8.311260e+03 3.104048e+01
8.445690e+03 3.245972e+01
8.582290e+03 3.394611e+01
8.721110e+03 3.550199e+01
8.862160e+03 3.713096e+01
9.005500e+03 3.883718e+01
9.151160e+03 4.062366e+01
9.299170e+03 4.249494e+01
9.449580e+03 4.445500e+01
9.602420e+03 4.650862e+01
9.757730e+03 4.865939e+01
9.915550e+03 5.091398e+01
1.007590e+04 5.327650e+01
1.023890e+04 5.575298e+01
1.040450e+04 5.834886e+01
1.057280e+04 6.107063e+01
1.074380e+04 6.392440e+01
1.091760e+04 6.691774e+01
1.109420e+04 7.005733e+01
1.110300e+04 7.021682e+01
1.110320e+04 9.239420e+00
1.127360e+04 9.600063e+00
1.145590e+04 9.995162e+00
1.164120e+04 1.040844e+01
1.182950e+04 1.084072e+01
1.202080e+04 1.129287e+01
1.221530e+04 1.176588e+01
1.241280e+04 1.226055e+01
1.261360e+04 1.277815e+01
1.281760e+04 1.331955e+01
1.302500e+04 1.388605e+01
1.323560e+04 1.447851e+01
1.344970e+04 1.509851e+01
1.366720e+04 1.574708e+01
1.388830e+04 1.642575e+01
1.411290e+04 1.713578e+01
1.434120e+04 1.787882e+01
1.457310e+04 1.865618e+01
1.480890e+04 1.946985e+01
1.504840e+04 2.032123e+01
1.529180e+04 2.121222e+01
1.553910e+04 2.214453e+01
1.579040e+04 2.312038e+01
1.604580e+04 2.414181e+01
1.630540e+04 2.521091e+01
1.656910e+04 2.632979e+01
1.683710e+04 2.750115e+01
1.710940e+04 2.872709e+01
1.738610e+04 3.001052e+01
1.766740e+04 3.135422e+01
1.795310e+04 3.276071e+01
1.824350e+04 3.423316e+01
1.853860e+04 3.577493e+01
1.883840e+04 3.738892e+01
1.914310e+04 3.907901e+01
1.945270e+04 4.084861e+01
1.976740e+04 4.270174e+01
2.008710e+04 4.464191e+01
2.041200e+04 4.667379e+01
2.074210e+04 4.880119e+01
2.107760e+04 5.102958e+01
2.141850e+04 5.336320e+01
2.176500e+04 5.580728e+01
2.211700e+04 5.836704e+01
2.247470e+04 6.104779e+01
2.283820e+04 6.385581e+01
2.320760e+04 6.679663e+01
2.358300e+04 6.987784e+01
2.396440e+04 7.310466e+01
2.435200e+04 7.648504e+01
2.474590e+04 8.002646e+01
2.514620e+04 8.373642e+01
2.555290e+04 8.762278e+01
2.596620e+04 9.169441e+01
2.638610e+04 9.595994e+01
2.681290e+04 1.004293e+02
2.724660e+04 1.051122e+02
2.768730e+04 1.100184e+02
2.813510e+04 1.151593e+02
2.859020e+04 1.205461e+02
2.905260e+04 1.261906e+02
2.952250e+04 1.321055e+02
3.000000e+04 1.383035e+02
