# material=Ta density=16.65
# Photon Energy [eV]  Attenuation Length [um]
3.255940e+03 3.903794e-01
3.293450e+03 4.013573e-01
3.331390e+03 4.126598e-01
3.369760e+03 4.242952e-01
3.408580e+03 4.362767e-01
3.447850e+03 4.486359e-01
3.487570e+03 4.613541e-01
3.527740e+03 4.744445e-01
3.568380e+03 4.879370e-01
3.609490e+03 5.018295e-01
3.651070e+03 5.161349e-01
3.693130e+03 5.308768e-01
3.735680e+03 5.460442e-01
3.778710e+03 5.616833e-01
3.822240e+03 5.777843e-01
3.866270e+03 5.943264e-01
3.910810e+03 6.114102e-01
3.955870e+03 6.289943e-01
4.001440e+03 6.470882e-01
4.047530e+03 6.657300e-01
4.094160e+03 6.849285e-01
4.141320e+03 7.047004e-01
4.189030e+03 7.250630e-01
4.237290e+03 7.460309e-01
4.286100e+03 7.676341e-01
4.335480e+03 7.898762e-01
4.385420e+03 8.127873e-01
4.435940e+03 8.363818e-01
4.487040e+03 8.606886e-01
4.538730e+03 8.857142e-01
4.591020e+03 9.114766e-01
4.643910e+03 9.380287e-01
4.697410e+03 9.653781e-01
4.751520e+03 9.935361e-01
4.806260e+03 1.022533e+00
4.861620e+03 1.052413e+00
4.917630e+03 1.083177e+00
4.974280e+03 1.114872e+00
5.031580e+03 1.147522e+00
5.089550e+03 1.181144e+00
5.148180e+03 1.215759e+00
5.207480e+03 1.251436e+00
5.267470e+03 1.288172e+00
5.328160e+03 1.326017e+00
5.389540e+03 1.364995e+00
5.451620e+03 1.405121e+00
5.514420e+03 1.446466e+00
5.577950e+03 1.489049e+00
5.642210e+03 1.532959e+00
5.707210e+03 1.578138e+00
5.772950e+03 1.624690e+00
5.839460e+03 1.672618e+00
5.906730e+03 1.721993e+00
5.974770e+03 1.772870e+00
6.043600e+03 1.825271e+00
6.113220e+03 1.879260e+00
6.183640e+03 1.934820e+00
6.254880e+03 1.992113e+00
6.326940e+03 2.051067e+00
6.399820e+03 2.111815e+00
6.473550e+03 2.174404e+00
6.548120e+03 2.238872e+00
6.623550e+03 2.305268e+00
6.699860e+03 2.373664e+00
6.777040e+03 2.444119e+00
6.855110e+03 2.516758e+00
6.934080e+03 2.591506e+00
7.013960e+03 2.668459e+00
7.094760e+03 2.747810e+00
7.176490e+03 2.829557e+00
7.259160e+03 2.913717e+00
7.342790e+03 3.000398e+00
7.427380e+03 3.089719e+00
7.512940e+03 3.181784e+00
7.599490e+03 3.276542e+00
7.687030e+03 3.374123e+00
7.775590e+03 3.474732e+00
7.865160e+03 3.578386e+00
7.955770e+03 3.685113e+00
8.047420e+03 3.795039e+00
8.140120e+03 3.908256e+00
8.233900e+03 4.024867e+00
8.328750e+03 4.145048e+00
8.424700e+03 4.268802e+00
8.521750e+03 4.396533e+00
