# material=Ga density=5.904
# Photon Energy [eV]  Attenuation Length [um]
1.752890e+03 4.798357e-01
1.781240e+03 4.996287e-01
1.810050e+03 5.203433e-01
1.839320e+03 5.419189e-01
1.869070e+03 5.643935e-01
1.899300e+03 5.878023e-01
1.930020e+03 6.121724e-01
1.961240e+03 6.375528e-01
1.992960e+03 6.639881e-01
2.025200e+03 6.912091e-01
2.057950e+03 7.201807e-01
2.091240e+03 7.504758e-01
2.125060e+03 7.820689e-01
2.159430e+03 8.150622e-01
2.194360e+03 8.495487e-01
2.229850e+03 8.855205e-01
2.265920e+03 9.231062e-01
2.302570e+03 9.623285e-01
2.339810e+03 1.003302e+00
2.377660e+03 1.046103e+00
2.416110e+03 1.090751e+00
2.455190e+03 1.137411e+00
2.494900e+03 1.186096e+00
2.535260e+03 1.236969e+00
2.576260e+03 1.290105e+00
2.617930e+03 1.345563e+00
2.660270e+03 1.403478e+00
2.703300e+03 1.464002e+00
2.747030e+03 1.527208e+00
2.791460e+03 1.593136e+00
2.836610e+03 1.662153e+00
2.882490e+03 1.734063e+00
2.929110e+03 1.809231e+00
2.976480e+03 1.887732e+00
3.024630e+03 1.969727e+00
3.073550e+03 2.055352e+00
3.123260e+03 2.144796e+00
3.173780e+03 2.238223e+00
3.225110e+03 2.335777e+00
3.277270e+03 2.437703e+00
3.330280e+03 2.544166e+00
3.384150e+03 2.655355e+00
3.438880e+03 2.771510e+00
3.494500e+03 2.892841e+00
3.551020e+03 3.019588e+00
3.608460e+03 3.151990e+00
3.666820e+03 3.290304e+00
3.726130e+03 3.434731e+00
3.786400e+03 3.585722e+00
3.847640e+03 3.743407e+00
3.909870e+03 3.908111e+00
3.973110e+03 4.080199e+00
4.037380e+03 4.260031e+00
4.102680e+03 4.447900e+00
4.169030e+03 4.644238e+00
4.236460e+03 4.849363e+00
4.304980e+03 5.063570e+00
4.374620e+03 5.287579e+00
4.445370e+03 5.521607e+00
4.517270e+03 5.766052e+00
4.590330e+03 6.021584e+00
4.664580e+03 6.288713e+00
4.740030e+03 6.567816e+00
4.816690e+03 6.859529e+00
4.894600e+03 7.164367e+00
4.973770e+03 7.483045e+00
5.054210e+03 7.816176e+00
5.135960e+03 8.164354e+00
5.219030e+03 8.528280e+00
5.303440e+03 8.909142e+00
5.389220e+03 9.306832e+00
5.476390e+03 9.723080e+00
5.564970e+03 1.015777e+01
5.654980e+03 1.061281e+01
5.746440e+03 1.108809e+01
5.839390e+03 1.158568e+01
5.933830e+03 1.210572e+01
6.029810e+03 1.264996e+01
6.127330e+03 1.321868e+01
6.226440e+03 1.381393e+01
6.327150e+03 1.443681e+01
6.429480e+03 1.508838e+01
6.533480e+03 1.577080e+01
6.639150e+03 1.648441e+01
6.746540e+03 1.723095e+01
6.855650e+03 1.801255e+01
6.966540e+03 1.883067e+01
7.079220e+03 1.968723e+01
7.193720e+03 2.058401e+01
7.310070e+03 2.152279e+01
7.428310e+03 2.250610e+01
7.548450e+03 2.353595e+01
7.670540e+03 2.461470e+01
7.794610e+03 2.574460e+01
7.920680e+03 2.692887e+01
8.048790e+03 2.816984e+01
8.178980e+03 2.947055e+01
8.311260e+03 3.083380e+01
8.445690e+03 3.226243e+01
8.582290e+03 3.376190e+01
8.721110e+03 3.533401e+01
8.862160e+03 3.698281e+01
9.005500e+03 3.871296e+01
9.151160e+03 4.052809e+01
9.299170e+03 4.243394e+01
9.449580e+03 4.443542e+01
9.602420e+03 4.653664e+01
9.757730e+03 4.874223e+01
9.915550e+03 5.105960e+01
1.007590e+04 5.349600e+01
1.023890e+04 5.605730e+01
1.036700e+04 5.812608e+01
1.036720e+04 7.547625e+00
1.040450e+04 7.615219e+00
1.057280e+04 7.924552e+00
1.074380e+04 8.248115e+00
1.091760e+04 8.586555e+00
1.109420e+04 8.940577e+00
1.127360e+04 9.310863e+00
1.145590e+04 9.698171e+00
1.164120e+04 1.010337e+01
1.182950e+04 1.052728e+01
1.202080e+04 1.097071e+01
1.221530e+04 1.143470e+01
1.241280e+04 1.191996e+01
1.261360e+04 1.242777e+01
1.281760e+04 1.295907e+01
1.302500e+04 1.351504e+01
1.323560e+04 1.409663e+01
1.344970e+04 1.470527e+01
1.366720e+04 1.534217e+01
1.388830e+04 1.600864e+01
1.411290e+04 1.670612e+01
1.434120e+04 1.743603e+01
1.457310e+04 1.819988e+01
1.480890e+04 1.899955e+01
1.504840e+04 1.983633e+01
1.529180e+04 2.071228e+01
1.553910e+04 2.162900e+01
1.579040e+04 2.258870e+01
1.604580e+04 2.359339e+01
1.630540e+04 2.464513e+01
1.656910e+04 2.574617e+01
1.683710e+04 2.689879e+01
1.710940e+04 2.810563e+01
1.738610e+04 2.936900e+01
1.766740e+04 3.069214e+01
1.795310e+04 3.207744e+01
1.824350e+04 3.352806e+01
1.853860e+04 3.504696e+01
1.883840e+04 3.663746e+01
1.914310e+04 3.830322e+01
1.945270e+04 4.004768e+01
1.976740e+04 4.187453e+01
2.008710e+04 4.378793e+01
2.041200e+04 4.579234e+01
2.074210e+04 4.789119e+01
2.107760e+04 5.009004e+01
2.141850e+04 5.239310e+01
2.176500e+04 5.480566e+01
2.211700e+04 5.733250e+01
2.247470e+04 5.997999e+01
2.283820e+04 6.275350e+01
2.320760e+04 6.565886e+01
2.358300e+04 6.870312e+01
2.396440e+04 7.189228e+01
2.435200e+04 7.523388e+01
2.474590e+04 7.873505e+01
2.514620e+04 8.240383e+01
2.555290e+04 8.624779e+01
2.596620e+04 9.027583e+01
2.638610e+04 9.449643e+01
2.681290e+04 9.891983e+01
2.724660e+04 1.035552e+02
2.768730e+04 1.084130e+02
2.813510e+04 1.135041e+02
2.859020e+04 1.188398e+02
2.905260e+04 1.244318e+02
2.952250e+04 1.302930e+02
3.000000e+04 1.364362e+02
