# material=La density=6.146
# Photon Energy [eV]  Attenuation Length [um]
5.728250e+02 3.543606e-01
5.794240e+02 3.621692e-01
5.860990e+02 3.701494e-01
5.928510e+02 3.783060e-01
5.996800e+02 3.866418e-01
6.065890e+02 3.951617e-01
6.135760e+02 4.038688e-01
6.206450e+02 4.127685e-01
6.277950e+02 4.218642e-01
6.350270e+02 4.309337e-01
6.423420e+02 4.392459e-01
6.497420e+02 4.477189e-01
6.572270e+02 4.563556e-01
6.647980e+02 4.651589e-01
6.724560e+02 4.741313e-01
6.802030e+02 4.832770e-01
6.880390e+02 4.925997e-01
6.959650e+02 5.021021e-01
7.039820e+02 5.125886e-01
7.120920e+02 5.245864e-01
7.202960e+02 5.368658e-01
7.285930e+02 5.494317e-01
7.369870e+02 5.622922e-01
7.454770e+02 5.754541e-01
7.540640e+02 5.889226e-01
7.627510e+02 6.027079e-01
7.715380e+02 6.168157e-01
7.804260e+02 6.312532e-01
7.894160e+02 6.460279e-01
7.985100e+02 6.611494e-01
8.077090e+02 6.766246e-01
8.170140e+02 6.924626e-01
8.264260e+02 7.086705e-01
8.359000e+02 7.251771e-01
8.361000e+02 1.275211e-01
8.455760e+02 1.314464e-01
8.553170e+02 1.355596e-01
8.651700e+02 1.398015e-01
8.751370e+02 1.441760e-01
8.852190e+02 1.486875e-01
8.954160e+02 1.533403e-01
9.057310e+02 1.581387e-01
9.161650e+02 1.630873e-01
9.267190e+02 1.681903e-01
9.373950e+02 1.734536e-01
9.481940e+02 1.788814e-01
9.591170e+02 1.839603e-01
9.701660e+02 1.866828e-01
9.813420e+02 1.894456e-01
9.926470e+02 1.922499e-01
1.004080e+03 1.950945e-01
1.015650e+03 1.979822e-01
1.027350e+03 2.009126e-01
1.039180e+03 2.038853e-01
1.051160e+03 2.069047e-01
1.059000e+03 2.088858e-01
1.067000e+03 2.105155e-01
1.079290e+03 2.130194e-01
1.091730e+03 2.155539e-01
1.104300e+03 2.181159e-01
1.117020e+03 2.207094e-01
1.129890e+03 2.233337e-01
1.142910e+03 2.259904e-01
1.156070e+03 2.286759e-01
1.169390e+03 2.313951e-01
1.182860e+03 2.341467e-01
1.196490e+03 2.369321e-01
1.210270e+03 2.397493e-01
1.224210e+03 2.425984e-01
1.238320e+03 2.456946e-01
1.252580e+03 2.491821e-01
1.267010e+03 2.530726e-01
1.281610e+03 2.579631e-01
1.296370e+03 2.629462e-01
1.311310e+03 2.680273e-01
1.326410e+03 2.732045e-01
1.341690e+03 2.784856e-01
1.357150e+03 2.838689e-01
1.372780e+03 2.893524e-01
1.388600e+03 2.949429e-01
1.404590e+03 3.006398e-01
1.420770e+03 3.064490e-01
1.437140e+03 3.123709e-01
1.453700e+03 3.184070e-01
1.470440e+03 3.248677e-01
1.487380e+03 3.316540e-01
1.504520e+03 3.393373e-01
1.521850e+03 3.479836e-01
1.539380e+03 3.568490e-01
1.557120e+03 3.659381e-01
1.575050e+03 3.752550e-01
1.593200e+03 3.848181e-01
1.611550e+03 3.946205e-01
1.630120e+03 4.046750e-01
1.648890e+03 4.149815e-01
1.667890e+03 4.255541e-01
1.687100e+03 4.363949e-01
1.706540e+03 4.475097e-01
1.726200e+03 4.589052e-01
1.746080e+03 4.707471e-01
1.766200e+03 4.829374e-01
1.786550e+03 4.954867e-01
1.807130e+03 5.083795e-01
1.827940e+03 5.216021e-01
1.849000e+03 5.351690e-01
1.870300e+03 5.490896e-01
1.891850e+03 5.633800e-01
1.913640e+03 5.780352e-01
1.935690e+03 5.930709e-01
1.957990e+03 6.085016e-01
1.980540e+03 6.243389e-01
2.003360e+03 6.405558e-01
2.026440e+03 6.569739e-01
2.049780e+03 6.742310e-01
2.073390e+03 6.919900e-01
2.097280e+03 7.102332e-01
2.121440e+03 7.289773e-01
2.145880e+03 7.482568e-01
2.170600e+03 7.680865e-01
2.195600e+03 7.884654e-01
2.220900e+03 8.094193e-01
2.246480e+03 8.309325e-01
2.272360e+03 8.531132e-01
2.298540e+03 8.759036e-01
2.325020e+03 8.993302e-01
2.351800e+03 9.234219e-01
2.378890e+03 9.481997e-01
2.406300e+03 9.736853e-01
2.434020e+03 9.998928e-01
2.462060e+03 1.026869e+00
2.490420e+03 1.054568e+00
2.519110e+03 1.083112e+00
2.548130e+03 1.112493e+00
2.577480e+03 1.142705e+00
2.607180e+03 1.173836e+00
2.637210e+03 1.205876e+00
2.667590e+03 1.238804e+00
2.698320e+03 1.272706e+00
2.729410e+03 1.307627e+00
2.760850e+03 1.343494e+00
2.792650e+03 1.380443e+00
2.824820e+03 1.418513e+00
2.857360e+03 1.457765e+00
2.890280e+03 1.498169e+00
2.923580e+03 1.539726e+00
2.957260e+03 1.582525e+00
2.991320e+03 1.626611e+00
3.025780e+03 1.672131e+00
3.060640e+03 1.718950e+00
3.095900e+03 1.767194e+00
3.131560e+03 1.816909e+00
3.167640e+03 1.868137e+00
3.204130e+03 1.920934e+00
3.241040e+03 1.975349e+00
3.278380e+03 2.031448e+00
3.316140e+03 2.089279e+00
3.354350e+03 2.148954e+00
3.392990e+03 2.210458e+00
3.432070e+03 2.273890e+00
3.471610e+03 2.339336e+00
3.511600e+03 2.406837e+00
3.552060e+03 2.476474e+00
3.592980e+03 2.548328e+00
3.634370e+03 2.622479e+00
3.676240e+03 2.699029e+00
3.718590e+03 2.778081e+00
3.761420e+03 2.859656e+00
3.804750e+03 2.943926e+00
3.848580e+03 3.030935e+00
3.892920e+03 3.120795e+00
3.937770e+03 3.213633e+00
3.983130e+03 3.309560e+00
4.029010e+03 3.408694e+00
4.075430e+03 3.511213e+00
4.122380e+03 3.617172e+00
4.169870e+03 3.726752e+00
4.217900e+03 3.840024e+00
4.266490e+03 3.957195e+00
4.315640e+03 4.078460e+00
4.365360e+03 4.203847e+00
4.415650e+03 4.333733e+00
4.466510e+03 4.468164e+00
4.517970e+03 4.607373e+00
4.570010e+03 4.751555e+00
4.622660e+03 4.900914e+00
4.675910e+03 5.055649e+00
4.729780e+03 5.215977e+00
4.784270e+03 5.382215e+00
4.839380e+03 5.554613e+00
4.895130e+03 5.733297e+00
4.951520e+03 5.918942e+00
5.008560e+03 6.111532e+00
5.066260e+03 6.311507e+00
5.124620e+03 6.519169e+00
5.183660e+03 6.734843e+00
5.243370e+03 6.958857e+00
5.303780e+03 7.191739e+00
5.364880e+03 7.433718e+00
5.426680e+03 7.685870e+00
5.482600e+03 7.918803e+00
