# material=Sn density=7.31
# Photon Energy [eV]  Attenuation Length [um]
4.816690e+03 1.504894e+00
4.894600e+03 1.564342e+00
4.973770e+03 1.626514e+00
5.054210e+03 1.691506e+00
5.135960e+03 1.759437e+00
5.219030e+03 1.830449e+00
5.303440e+03 1.904680e+00
5.389220e+03 1.982326e+00
5.476390e+03 2.063481e+00
5.564970e+03 2.148283e+00
5.654980e+03 2.236985e+00
5.746440e+03 2.329711e+00
5.839390e+03 2.426666e+00
5.933830e+03 2.528010e+00
6.029810e+03 2.633972e+00
6.127330e+03 2.744760e+00
6.226440e+03 2.860627e+00
6.327150e+03 2.981751e+00
6.429480e+03 3.108362e+00
6.533480e+03 3.240810e+00
6.639150e+03 3.379325e+00
6.746540e+03 3.524084e+00
6.855650e+03 3.675483e+00
6.966540e+03 3.833839e+00
7.079220e+03 3.999415e+00
7.193720e+03 4.172587e+00
7.310070e+03 4.353583e+00
7.428310e+03 4.543006e+00
7.548450e+03 4.741007e+00
7.670540e+03 4.948158e+00
7.794610e+03 5.164817e+00
7.920680e+03 5.391288e+00
8.048790e+03 5.628376e+00
8.178980e+03 5.876204e+00
8.311260e+03 6.135319e+00
8.445690e+03 6.406537e+00
8.582290e+03 6.690021e+00
8.721110e+03 6.986663e+00
8.862160e+03 7.296976e+00
9.005500e+03 7.621385e+00
9.151160e+03 7.961073e+00
9.299170e+03 8.316165e+00
9.449580e+03 8.687527e+00
9.602420e+03 9.076175e+00
9.757730e+03 9.482727e+00
9.915550e+03 9.907318e+00
1.007590e+04 1.035201e+01
1.023890e+04 1.081726e+01
1.040450e+04 1.130390e+01
1.057280e+04 1.181299e+01
1.074380e+04 1.234550e+01
1.091760e+04 1.290257e+01
1.109420e+04 1.348535e+01
1.127360e+04 1.409490e+01
1.145590e+04 1.473248e+01
1.164120e+04 1.539953e+01
1.182950e+04 1.609734e+01
1.202080e+04 1.682723e+01
1.221530e+04 1.759082e+01
1.241280e+04 1.838942e+01
1.261360e+04 1.922492e+01
1.281760e+04 2.009880e+01
1.302500e+04 2.101306e+01
1.323560e+04 2.196916e+01
1.344970e+04 2.296926e+01
1.366720e+04 2.401534e+01
1.388830e+04 2.510960e+01
1.411290e+04 2.625402e+01
1.434120e+04 2.745112e+01
1.457310e+04 2.870294e+01
1.480890e+04 3.001243e+01
1.504840e+04 3.138181e+01
1.529180e+04 3.281394e+01
1.553910e+04 3.431152e+01
1.579040e+04 3.587762e+01
1.604580e+04 3.751547e+01
1.630540e+04 3.922850e+01
1.656910e+04 4.101930e+01
1.683710e+04 4.289208e+01
1.710940e+04 4.485024e+01
1.738610e+04 4.689727e+01
1.766740e+04 4.903805e+01
1.795310e+04 5.127597e+01
1.824350e+04 5.361562e+01
1.853860e+04 5.606124e+01
1.883840e+04 5.861775e+01
1.914310e+04 6.129005e+01
1.945270e+04 6.408362e+01
1.976740e+04 6.700327e+01
2.008710e+04 7.005467e+01
2.041200e+04 7.324367e+01
2.074210e+04 7.657630e+01
2.107760e+04 8.005893e+01
2.141850e+04 8.369733e+01
2.176500e+04 8.749966e+01
2.211700e+04 9.147177e+01
2.247470e+04 9.562138e+01
2.283820e+04 9.995643e+01
2.320760e+04 1.044847e+02
2.358300e+04 1.092146e+02
2.396440e+04 1.141542e+02
2.435200e+04 1.193130e+02
2.474590e+04 1.247003e+02
2.514620e+04 1.303256e+02
2.555290e+04 1.361984e+02
2.596620e+04 1.423298e+02
2.638610e+04 1.487301e+02
2.681290e+04 1.554110e+02
2.724660e+04 1.623843e+02
2.768730e+04 1.696612e+02
2.813510e+04 1.772550e+02
2.859020e+04 1.851786e+02
2.905260e+04 1.934452e+02
2.920000e+04 1.961285e+02
2.920020e+04 3.175636e+01
2.952250e+04 3.266546e+01
3.000000e+04 3.404135e+01
