# material=W density=19.25
# Photon Energy [eV]  Attenuation Length [um]
7.229000e+03 2.401171e+00
7.323000e+03 2.482271e+00
7.419000e+03 2.566755e+00
7.516000e+03 2.654085e+00
7.614000e+03 2.743981e+00
7.713000e+03 2.836954e+00
7.814000e+03 2.933760e+00
7.916000e+03 3.033522e+00
8.019000e+03 3.136558e+00
8.124000e+03 3.243917e+00
8.230000e+03 3.354566e+00
8.338000e+03 3.469740e+00
8.447000e+03 3.588605e+00
8.557000e+03 3.711108e+00
8.669000e+03 3.838513e+00
8.782000e+03 3.969755e+00
8.897000e+03 4.106300e+00
9.013000e+03 4.247276e+00
9.131000e+03 4.393665e+00
9.250000e+03 4.544857e+00
9.371000e+03 4.701587e+00
9.494000e+03 4.864723e+00
9.618000e+03 5.032648e+00
9.743000e+03 5.205580e+00
9.900580e+03 5.423860e+00
1.006070e+04 5.650862e+00
1.020670e+04 5.862773e+00
1.020690e+04 2.274202e+00
1.022340e+04 2.284584e+00
1.038880e+04 2.390226e+00
1.055680e+04 2.500729e+00
1.072760e+04 2.616362e+00
1.090110e+04 2.737325e+00
1.107740e+04 2.863876e+00
1.125660e+04 2.996291e+00
1.143860e+04 3.134800e+00
1.154390e+04 3.216750e+00
1.154410e+04 2.297301e+00
1.162360e+04 2.340021e+00
1.181170e+04 2.442987e+00
1.200270e+04 2.550479e+00
1.209970e+04 2.606180e+00
1.209990e+04 2.271998e+00
1.219680e+04 2.318118e+00
1.239410e+04 2.413752e+00
1.259460e+04 2.513604e+00
1.279830e+04 2.617913e+00
1.300530e+04 2.726860e+00
1.321560e+04 2.840658e+00
1.342940e+04 2.959520e+00
1.364660e+04 3.083682e+00
1.386730e+04 3.213373e+00
1.409160e+04 3.348844e+00
1.431950e+04 3.490345e+00
1.455110e+04 3.638160e+00
1.478650e+04 3.792581e+00
1.502560e+04 3.953863e+00
1.526870e+04 4.122381e+00
1.551560e+04 4.298384e+00
1.576660e+04 4.482274e+00
1.602160e+04 4.674369e+00
1.628070e+04 4.875034e+00
1.654410e+04 5.084706e+00
1.681160e+04 5.303695e+00
1.708360e+04 5.532544e+00
1.735990e+04 5.771587e+00
1.764060e+04 6.021304e+00
1.792600e+04 6.282254e+00
1.821590e+04 6.554852e+00
1.851050e+04 6.839646e+00
1.880990e+04 7.137221e+00
1.911420e+04 7.448140e+00
1.942330e+04 7.772952e+00
1.973750e+04 8.112360e+00
2.005670e+04 8.466939e+00
2.038110e+04 8.837443e+00
2.071080e+04 9.224573e+00
2.104570e+04 9.629003e+00
2.138610e+04 1.005164e+01
2.173200e+04 1.049320e+01
2.208350e+04 1.095460e+01
2.244070e+04 1.143671e+01
2.280370e+04 1.194050e+01
2.317250e+04 1.246684e+01
2.354730e+04 1.301683e+01
2.392820e+04 1.359155e+01
2.431520e+04 1.419208e+01
2.470850e+04 1.481958e+01
2.510810e+04 1.547526e+01
2.551420e+04 1.616040e+01
2.592690e+04 1.687636e+01
2.634620e+04 1.762445e+01
2.677240e+04 1.840626e+01
2.720540e+04 1.922316e+01
2.764540e+04 2.007681e+01
2.809260e+04 2.096890e+01
2.854690e+04 2.190103e+01
2.900870e+04 2.287519e+01
2.947790e+04 2.389315e+01
2.995460e+04 2.495686e+01
3.000000e+04 2.505963e+01
