# material=Yb density=6.57
# Photon Energy [eV]  Attenuation Length [um]
2.283820e+04 3.882136e+01
2.320760e+04 4.054379e+01
2.358300e+04 4.234394e+01
2.396440e+04 4.422513e+01
2.435200e+04 4.619138e+01
2.474590e+04 4.824628e+01
2.514620e+04 5.039400e+01
2.555290e+04 5.263862e+01
2.596620e+04 5.498463e+01
2.638610e+04 5.743652e+01
2.681290e+04 5.999923e+01
2.724660e+04 6.267793e+01
2.768730e+04 6.547760e+01
2.813510e+04 6.840397e+01
2.859020e+04 7.146276e+01
2.905260e+04 7.465974e+01
2.952250e+04 7.800184e+01
3.000000e+04 8.149509e+01
