# material=C density=2.267
# Photon Energy [eV]  Attenuation Length [um]
5.389220e+03 2.952546e+02
5.476390e+03 3.104959e+02
5.564970e+03 3.265379e+02
5.654980e+03 3.434067e+02
5.746440e+03 3.611814e+02
5.839390e+03 3.799049e+02
5.933830e+03 3.996244e+02
6.029810e+03 4.203738e+02
6.127330e+03 4.422121e+02
6.226440e+03 4.652379e+02
6.327150e+03 4.894807e+02
6.429480e+03 5.150108e+02
6.533480e+03 5.419071e+02
6.639150e+03 5.702362e+02
6.746540e+03 6.000840e+02
6.855650e+03 6.315210e+02
6.966540e+03 6.646498e+02
7.079220e+03 6.995679e+02
7.193720e+03 7.363532e+02
7.310070e+03 7.751211e+02
7.428310e+03 8.159643e+02
7.548450e+03 8.590272e+02
7.670540e+03 9.044106e+02
7.794610e+03 9.522396e+02
7.920680e+03 1.002673e+03
8.048790e+03 1.055842e+03
8.178980e+03 1.111893e+03
8.311260e+03 1.170981e+03
8.445690e+03 1.233303e+03
8.582290e+03 1.299007e+03
8.721110e+03 1.368290e+03
8.862160e+03 1.441379e+03
9.005500e+03 1.518475e+03
9.151160e+03 1.599773e+03
9.299170e+03 1.685538e+03
9.449580e+03 1.775984e+03
9.602420e+03 1.871408e+03
9.757730e+03 1.972158e+03
9.915550e+03 2.078388e+03
1.007590e+04 2.190489e+03
1.023890e+04 2.308791e+03
1.040450e+04 2.433627e+03
1.057280e+04 2.565380e+03
1.074380e+04 2.704428e+03
1.091760e+04 2.851195e+03
1.109420e+04 3.006105e+03
1.127360e+04 3.169616e+03
1.145590e+04 3.342211e+03
1.164120e+04 3.524434e+03
1.182950e+04 3.716822e+03
1.202080e+04 3.919908e+03
1.221530e+04 4.134371e+03
1.241280e+04 4.360752e+03
1.261360e+04 4.599831e+03
1.281760e+04 4.852250e+03
1.302500e+04 5.118827e+03
1.323560e+04 5.400247e+03
1.344970e+04 5.697477e+03
1.366720e+04 6.011305e+03
1.388830e+04 6.342739e+03
1.411290e+04 6.692719e+03
1.434120e+04 7.062312e+03
1.457310e+04 7.452555e+03
1.480890e+04 7.864700e+03
1.504840e+04 8.299840e+03
1.529180e+04 8.759326e+03
1.553910e+04 9.244476e+03
1.579040e+04 9.756711e+03
1.604580e+04 1.029748e+04
1.630540e+04 1.086844e+04
1.656910e+04 1.147108e+04
1.683710e+04 1.210727e+04
1.710940e+04 1.277856e+04
1.738610e+04 1.348711e+04
1.766740e+04 1.423471e+04
1.795310e+04 1.502348e+04
1.824350e+04 1.585548e+04
1.853860e+04 1.673304e+04
1.883840e+04 1.765838e+04
1.914310e+04 1.863404e+04
1.945270e+04 1.966236e+04
1.976740e+04 2.074610e+04
2.008710e+04 2.174673e+04
2.041200e+04 2.298326e+04
2.074210e+04 2.428876e+04
2.107760e+04 2.566706e+04
2.141850e+04 2.712210e+04
2.176500e+04 2.865827e+04
2.211700e+04 3.027968e+04
2.247470e+04 3.199115e+04
2.283820e+04 3.379769e+04
2.320760e+04 3.570438e+04
2.358300e+04 3.771683e+04
2.396440e+04 3.984051e+04
2.435200e+04 4.208177e+04
2.474590e+04 4.444685e+04
2.514620e+04 4.694270e+04
2.555290e+04 4.957607e+04
2.596620e+04 5.235476e+04
2.638610e+04 5.528636e+04
2.681290e+04 5.837954e+04
2.724660e+04 6.164305e+04
2.768730e+04 6.508575e+04
2.813510e+04 6.871768e+04
2.859020e+04 7.254915e+04
2.905260e+04 7.659065e+04
2.952250e+04 8.085396e+04
3.000000e+04 8.535058e+04
