# material=Pb density=11.34
# Photon Energy [eV]  Attenuation Length [um]
6.746540e+03 2.498018e+00
6.855650e+03 2.601623e+00
6.966540e+03 2.709658e+00
7.079220e+03 2.822223e+00
7.193720e+03 2.939581e+00
7.310070e+03 3.061872e+00
7.428310e+03 3.189264e+00
7.548450e+03 3.322119e+00
7.670540e+03 3.460570e+00
7.794610e+03 3.604876e+00
7.920680e+03 3.755195e+00
8.048790e+03 3.912039e+00
8.178980e+03 4.075419e+00
8.311260e+03 4.245659e+00
8.445690e+03 4.423091e+00
8.582290e+03 4.608152e+00
8.721110e+03 4.800951e+00
8.862160e+03 5.002047e+00
9.005500e+03 5.211434e+00
9.151160e+03 5.429888e+00
9.299170e+03 5.657521e+00
9.449580e+03 5.894885e+00
9.602420e+03 6.142278e+00
9.757730e+03 6.400174e+00
9.915550e+03 6.668881e+00
1.007590e+04 6.959025e+00
1.023890e+04 7.261917e+00
1.040450e+04 7.578025e+00
1.057280e+04 7.907961e+00
1.074380e+04 8.252257e+00
1.091760e+04 8.611573e+00
1.109420e+04 8.986488e+00
1.127360e+04 9.377648e+00
1.145590e+04 9.785727e+00
1.164120e+04 1.021150e+01
1.182950e+04 1.065568e+01
1.202080e+04 1.111893e+01
1.221530e+04 1.160220e+01
1.241280e+04 1.210608e+01
1.261360e+04 1.263163e+01
1.281760e+04 1.317959e+01
1.302500e+04 1.375101e+01
1.303510e+04 1.377933e+01
1.303530e+04 5.539165e+00
1.323560e+04 5.775950e+00
1.344970e+04 6.036009e+00
1.366720e+04 6.307749e+00
1.388830e+04 6.591756e+00
1.411290e+04 6.888513e+00
1.434120e+04 7.198649e+00
1.457310e+04 7.522715e+00
1.480890e+04 7.861432e+00
1.504840e+04 8.215347e+00
1.519990e+04 8.444347e+00
1.520010e+04 6.056660e+00
1.529180e+04 6.147184e+00
1.553910e+04 6.395510e+00
1.579040e+04 6.653839e+00
1.586070e+04 6.727138e+00
1.586090e+04 5.883849e+00
1.604580e+04 6.055286e+00
1.630540e+04 6.300834e+00
1.656910e+04 6.557324e+00
1.683710e+04 6.825252e+00
1.710940e+04 7.105114e+00
1.738610e+04 7.397459e+00
